facility_id,facility_name,site_kind,place_key,health_zone,province,n_sitreps,n_events,confirmed_in_zone,name_known,place_known,grid3_type,flags
cte-kilo,Kilo,treatment_centre,kilo,Kilo,Ituri,14,14,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,""
cte-logo,Logo,treatment_centre,logo,Logo,Ituri,11,11,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Hôpital Général de Référence,possible_same_site
ci-kabondo,Kabondo,isolation_centre,kabondo,Kabondo,Tshopo,9,9,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Hôpital Général de Référence,""
cte-kigonze,Kigonze,treatment_centre,kigonze,Bunia,Ituri,9,9,TRUE,TRUE,TRUE,Poste de Santé,possible_same_site
cte-aru,Aru,treatment_centre,aru,Aru,Ituri,8,8,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Hôpital Général de Référence,possible_same_site
cte-mangala,Mangala,treatment_centre,mangala,Mangala,Ituri,8,8,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Hôpital Général de Référence,possible_same_site
cte-mambasa,Mambasa,treatment_centre,mambasa,Mambasa,Ituri,6,6,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,""
cte-mandima,Mandima,treatment_centre,mandima,Mandima,Ituri,5,5,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,""
cte-lolwa,Lolwa,treatment_centre,lolwa,Lolwa,Ituri,4,4,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,possible_same_site
ci-konga-konga,Konga-Konga,isolation_centre,konga konga,Makiso Kisangani,Tshopo,3,3,TRUE,TRUE,TRUE,Centre de Santé,possible_name_subset
hosp-ch-salama,CH SALAMA,hospital_isolation,salama,Rwampara,Ituri,3,3,TRUE,TRUE,TRUE,Centre Hopitalier,possible_name_subset
hosp-elikya,Elikya,hospital_isolation,elikya,Bunia,Ituri,2,2,TRUE,TRUE,TRUE,Centre Hopitalier,possible_host_variant;possible_same_site
hosp-lwiro,Lwiro,hospital_isolation,lwiro,Miti Murhesa,Sud-Kivu,2,2,TRUE,TRUE,TRUE,Centre de Santé; Hôpital,possible_same_site
ct-fomulac,FOMULAC,transit_centre,fomulac,Katana,Sud-Kivu,1,1,TRUE,TRUE,TRUE,Hôpital Général de Référence,possible_same_site
ct-nyangezi,Nyangezi,transit_centre,nyangezi,Nyangezi,Sud-Kivu,1,1,TRUE,TRUE,TRUE,Hôpital Général de Référence,""
cte-gombari,Gombari,treatment_centre,gombari,Gombari,Haut-Uele,1,1,TRUE,TRUE,TRUE,Hôpital Général de Référence,""
cte-rungu,Rungu,treatment_centre,rungu,Rungu,Haut-Uele,1,1,TRUE,TRUE,TRUE,Centre de Santé; Hôpital Général de Référence,""
hosp-bundji,Bundji,hospital_isolation,bundji,Beni,Nord-Kivu,1,1,TRUE,TRUE,TRUE,Centre de Santé,possible_host_variant;possible_name_subset;possible_same_site
hosp-fomulac,Fomulac,hospital_isolation,fomulac,Katana,Sud-Kivu,1,1,TRUE,TRUE,TRUE,Hôpital Général de Référence,possible_missing_place;possible_same_host;possible_same_site
hosp-malepe,Malepe,hospital_isolation,malepe,Beni,Nord-Kivu,1,1,TRUE,TRUE,TRUE,Centre de Santé,""
hosp-unibu,UNIBU,hospital_isolation,bunia,Bunia,Ituri,1,1,TRUE,TRUE,TRUE,Poste de Santé,""
site-aero,Aéro,other,bunia,Bunia,Ituri,1,1,TRUE,TRUE,TRUE,Centre de Santé,possible_host_variant
site-bundji,BUNDJI,other,beni,Beni,Nord-Kivu,1,1,TRUE,TRUE,TRUE,Centre de Santé,possible_same_site
site-bunia-cite,Bunia-Cite,other,bunia,Bunia,Ituri,1,1,TRUE,TRUE,TRUE,Centre de Santé; Centre Hopitalier,possible_host_variant;possible_name_subset
site-carl-becker,Carl Becker,other,beni,Beni,Nord-Kivu,1,1,TRUE,TRUE,TRUE,Centre Hopitalier,""
site-ch-mudzi-maria,CH Mudzi Maria,other,mudzi maria,Bunia,"",1,1,TRUE,TRUE,TRUE,Centre Hopitalier,possible_host_variant;possible_spelling_variant
site-chahoboka,Chahoboka,other,chahoboka,Miti Murhesa,Sud-Kivu,1,1,TRUE,TRUE,TRUE,Centre de Santé,possible_spelling_variant
site-damas,Damas,other,damas,Damas,Ituri,1,1,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé,""
site-dele,DELE,other,dele,Rwampara,Ituri,1,1,TRUE,TRUE,TRUE,Centre de Santé,""
site-drodro,Drodro,other,drodro,Drodro,Ituri,1,1,TRUE,TRUE,TRUE,Bureau Central de la Zone de Santé; Centre de Santé; Hôpital Général de Référence,""
