rank,cluster,facility_id,facility_name,site_kind,n_sitreps,n_events,place_key,province,date_first_in_service,status_latest,beds_latest,flags,aliases,host_zone,events_in_cluster,settled
1,site-csr-bunia-cite,hosp-hgr-bunia,HGR Bunia,hospital_isolation,32,35,bunia,Ituri,2026-05-20,operating,60,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site;possible_word_order,HGR Bunia; HGR BUNIA; HGR de Bunia; l’HGR de Bunia,Bunia,170,""
1,site-csr-bunia-cite,cte-hgr-bunia,CTE à l’HGR Bunia,treatment_centre,24,29,bunia,Ituri,2026-05-29,operating,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,"CTE à l’HGR Bunia; CTE à l’HGR BUNIA; CTE à l’HGR/Bunia; CTE au HGR Bunia; CTE de l’HGR Bunia; CTE de l'HGR de Bunia; CTE de l’HGR de Bunia; CTE HGR Bunia; CTE HGR/Bunia; CTE, l’HGR Bunia; CTE/HGR Bunia; HGR/Bunia; l’HGR Bunia",Bunia,170,""
1,site-csr-bunia-cite,cte-bunia,CTE Bunia,treatment_centre,23,24,bunia,Ituri,2026-05-30,operating,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,Bunia; CTE Bunia; CTE de Bunia,Bunia,170,""
1,site-csr-bunia-cite,cte-elikya,CTE Elikya,treatment_centre,22,23,elikya,Ituri,2026-06-10,operating,,possible_same_site,centre de traitement Elikya; CTE Elikya; CTE ELIKYA; CTE Elykia; Elykia,,170,""
1,site-csr-bunia-cite,cte-cme-bunia,CTE CME Bunia,treatment_centre,19,20,bunia,Ituri,2026-06-11,incident,,possible_host_variant;possible_missing_place;possible_name_subset;possible_same_site,CME Bunia; CME BUNIA; CTE au CME Bunia; CTE CME Bunia; CTE CME de Bunia; CTE CME/Bunia; CTE/CME-Bunia; CTE/CME-BUNIA,,170,""
1,site-csr-bunia-cite,site-hgr-bunia,HGR-Bunia,other,7,7,bunia,Ituri,,mention_only,,possible_host_variant;possible_same_site,HGR-Bunia,,170,""
1,site-csr-bunia-cite,hosp-cme-bunia,CME/BUNIA,hospital_isolation,3,3,bunia,Ituri,2026-06-18,operating,,possible_host_variant;possible_same_site,CME de Bunia; CME/BUNIA,,170,""
1,site-csr-bunia-cite,site-cme-bunia,CME/Bunia,other,3,3,bunia,Ituri,,opened,,possible_host_variant;possible_name_subset;possible_same_site,CME/Bunia,,170,""
1,site-csr-bunia-cite,ct-bunia,CT Bunia,transit_centre,2,2,bunia,Ituri,2026-05-23,operating,,possible_host_variant;possible_name_subset;possible_same_host;possible_same_site,CT Bunia,Bunia,170,""
1,site-csr-bunia-cite,hosp-bunia-ch-elikya,BUNIA CH ELIKYA,hospital_isolation,2,2,bunia,Ituri,2026-05-20,operating,6,possible_name_subset,BUNIA CH ELIKYA,,170,""
1,site-csr-bunia-cite,hosp-bunia-hgr,BUNIA HGR,hospital_isolation,2,2,bunia,Ituri,2026-05-20,operating,6,possible_host_variant;possible_name_subset;possible_same_host;possible_word_order,BUNIA HGR,Bunia,170,""
