report_date,sitrep,version,level,place_id,place_name,basis,admissions_24h,beds_total,exits_24h,occupancy_rate,patients_confirmed,patients_isolated,patients_start_day,patients_suspect,occupancy_rate_derived,rate_gap,flags
2026-06-01,18,1,national,ensemble,Ensemble,table,,,15,,,173,,,,,""
2026-06-01,18,1,province,ituri,Ituri,table,,,10,,,158,,,,,""
2026-06-01,18,1,province,nord-kivu,Nord-Kivu,table,,,3,,,8,,,,,""
2026-06-01,18,1,province,sud-kivu,Sud-Kivu,table,,,2,,,7,,,,,""
2026-06-02,19,1,national,ensemble,Ensemble,table,30,,28,,47,206,204,159,,,""
2026-06-02,19,1,province,ituri,Ituri,table,28,,27,,40,192,191,152,,,""
2026-06-02,19,1,province,nord-kivu,Nord-Kivu,table,1,,1,,5,8,8,3,,,""
2026-06-02,19,1,province,sud-kivu,Sud-Kivu,table,1,,0,,2,6,5,4,,,""
2026-06-03,20,1,national,ensemble,Ensemble,table,48,,37,,62,233,222,171,,,""
2026-06-03,20,1,province,ituri,Ituri,table,47,,35,,57,220,208,163,,,""
2026-06-03,20,1,province,nord-kivu,Nord-Kivu,table,1,,1,,4,8,8,4,,,""
2026-06-03,20,1,province,sud-kivu,Sud-Kivu,table,0,,1,,1,5,6,4,,,""
2026-06-04,21,1,national,ensemble,Ensemble,table,62,,37,,72,258,233,186,,,""
2026-06-04,21,1,province,ituri,Ituri,table,61,,37,,66,243,219,177,,,""
2026-06-04,21,1,province,nord-kivu,Nord-Kivu,table,1,,0,,5,9,8,4,,,""
2026-06-04,21,1,province,sud-kivu,Sud-Kivu,table,0,,0,,1,6,6,5,,,""
2026-06-05,22,1,national,ensemble,Ensemble,table,38,,22,,89,,251,178,,,""
2026-06-05,22,1,province,ituri,Ituri,table,37,,22,,83,,236,168,,,""
2026-06-05,22,1,province,nord-kivu,Nord-Kivu,table,1,,0,,5,,8,4,,,""
2026-06-05,22,1,province,sud-kivu,Sud-Kivu,table,0,,0,,1,,7,6,,,""
2026-06-06,23,1,national,ensemble,Ensemble,table,30,,27,,105,,280,178,,,""
2026-06-06,23,1,province,ituri,Ituri,table,29,,26,,99,,257,161,,,""
2026-06-06,23,1,province,nord-kivu,Nord-Kivu,table,1,,1,,5,,16,11,,,""
2026-06-06,23,1,province,sud-kivu,Sud-Kivu,table,0,,0,,1,,7,6,,,""
2026-06-07,24,1,national,ensemble,Ensemble,table,61,,35,,116,309,283,193,,,""
2026-06-07,24,1,province,ituri,Ituri,table,55,,31,,110,284,260,174,,,""
2026-06-07,24,1,province,nord-kivu,Nord-Kivu,table,6,,4,,5,18,16,13,,,""
2026-06-07,24,1,province,sud-kivu,Sud-Kivu,table,0,,0,,1,7,7,6,,,""
2026-06-08,25,1,national,ensemble,Ensemble,table,34,,47,,113,297,310,184,,,""
2026-06-08,25,1,province,ituri,Ituri,table,27,,47,,106,266,286,160,,,""
2026-06-08,25,1,province,nord-kivu,Nord-Kivu,table,7,,0,,6,24,17,18,,,""
2026-06-08,25,1,province,sud-kivu,Sud-Kivu,table,0,,0,,1,7,7,6,,,""
2026-06-09,26,1,national,ensemble,Ensemble,table,31,,39,,117,260,268,143,,,""
2026-06-09,26,1,province,ituri,Ituri,table,31,,39,,111,237,245,126,,,""
2026-06-09,26,1,province,nord-kivu,Nord-Kivu,table,0,,0,,5,17,17,12,,,""
