source,doc_id,report_date,publisher,licence,url,facility_raw,site_kind,name_status,place_raw,health_zone,province,event,beds,status_note,evidence_quote,confidence,facility_id,match_kind
who_afro,afro-01,2026-05-18,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/385886,Mulago Isolation Treatment Unit,isolation_centre,named,"","","",operating,"",One patient is admitted at the unit.,One case is admitted in Uganda at the Mulago Isolation Treatment Unit.,high,,unmatched
who_afro,afro-01,2026-05-18,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/385886,health facility,hospital_isolation,unnamed,Kampala,"","",operating,"",A patient with Ebola was admitted to the facility.,admitted to a health facility in Kampala on 11 May 2026,high,,unmatched
who_afro,afro-01,2026-05-18,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/385886,health facility,hospital_isolation,unnamed,Kampala,"","",operating,"",A patient was admitted to the facility with signs of severe illness.,admitted to a health facility in Kampala with reduced consciousness,high,,unmatched
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,ETC,treatment_centre,unnamed,Bunia,"","",under_construction,"",Earthworks for expansion activities have begun.,earthworks for ETC expansion activities in Bunia have been initiated,high,,place_only
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,Hoho Health Centre,hospital_isolation,named,"","","",operating,"",A confirmed patient was released under community pressure.,a confirmed patient from Hoho Health Centre was released under community pressure,high,,unmatched
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,Mulago Ebola Treatment Unit (ETU),treatment_centre,named,Kampala,"","",operating,"",Five confirmed cases are being managed in isolation at the unit.,five confirmed are being managed in isolation at the Mulago Ebola Treatment Unit (ETU) in Kampala,high,,unmatched
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,Mulago Ebola Treatment Unit (ETU),treatment_centre,named,Kampala,"","",mention_only,80,Infection prevention and control measures are being strengthened at the facility.,"IPC measures are also being strengthened at the Mulago Ebola Treatment Unit (ETU) in Kampala, Uganda, an 80-bed facility",high,,unmatched
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,a private health facility,hospital_isolation,unnamed,"","","",operating,"",Ugandan health workers provided care for a confirmed case at a private health facility.,two Ugandan health workers who provided care for an earlier confirmed case at a private health facility,high,,unmatched
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,a treatment facility,treatment_centre,unnamed,"","","",planned,"",Assessments and layout finalization for a treatment facility have been completed.,assessments and layout finalization for a treatment facility completed,high,,unmatched
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,the treatment centre,treatment_centre,unnamed,Mongbwalu,"","",incident,"",A security incident occurred and one of the treatment tents was burned.,"In Mongbwalu, 18 suspected patients left the treatment centre following a security incident and the burning of one of three treatment tents",high,,place_only
who_afro,afro-02,2026-05-24,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386242,the treatment centre,treatment_centre,unnamed,Mongbwalu,"","",operating,"",18 suspected patients left the treatment centre.,"In Mongbwalu, 18 suspected patients left the treatment centre following a security incident and the burning of one of three treatment tents",high,,place_only
who_afro,afro-03,2026-05-31,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386347,Centre Médical Évangélique (CME) Ebola Treatment Centre,treatment_centre,named,Bunia,"","",opened,100,Rehabilitation of the facility has been completed to support the isolation and management of cases.,"Rehabilitation of the Centre Médical Évangélique (CME) Ebola Treatment Centre in Bunia has been completed, providing capacity for 100 beds",high,,place_only
who_afro,afro-03,2026-05-31,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386347,ETC,treatment_centre,unnamed,"","",Ituri,opened,65,A 65-bed Ebola treatment centre was constructed and operationalized.,"construction and operationalization of ETCs, including a 65-bed ETC in Ituri",high,,unmatched
who_afro,afro-03,2026-05-31,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386347,ETC,treatment_centre,unnamed,Goma,"","",opened,80,An 80-bed Ebola treatment centre was constructed and operationalized.,an 80-bed ETC in Goma,high,,place_only
who_afro,afro-03,2026-05-31,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386347,HGR Bambu,hospital_isolation,named,Bambu,"","",operating,"","Eleven patients left the facility, undermining continuity of care.","15 patients left treatment centres, including 11 from HGR Bambu",high,hosp-hgr-bambu,id
who_afro,afro-03,2026-05-31,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386347,Mulago Ebola Treatment Unit,treatment_centre,named,Kampala,"","",operating,"",Five confirmed Ebola cases remain under treatment at the facility.,five confirmed cases remain under treatment at the Mulago Ebola Treatment Unit in Kampala.,high,,unmatched
who_afro,afro-04,2026-06-07,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386364,Ebola Treatment Centre,treatment_centre,named,Bunia,"","",opened,"",The facility became fully operational.,the Ebola Treatment Centre in Bunia became fully operational,high,,place_only
who_afro,afro-04,2026-06-07,World Health Organization Regional Office for Africa,CC BY-NC-SA 3.0 IGO,https://iris.who.int/handle/10665/386364,Ebola Treatment Centre,treatment_centre,named,Bunia,"","",operating,"",Patients were transferred to the facility.,"the Ebola Treatment Centre in Bunia became fully operational, including completion of patient transfers",high,,place_only
