facility_id,facility_name,site_kind,place_key,health_zone,province,date_first_mentioned,sitrep_first_mentioned,first_mention_after_gap,date_first_planned,date_opening_announced,sitrep_opening_announced,date_opening_stated,date_first_in_service,status_latest,status_latest_date,beds_latest,beds_latest_date,date_last_mentioned,n_sitreps,n_events,aliases,flags
hosp-bundji,Bundji,hospital_isolation,bundji,Beni,Nord-Kivu,2026-07-02,049,FALSE,,,,,2026-07-02,operating,2026-07-02,,,2026-07-02,1,1,Bundji,possible_host_variant;possible_same_site
hosp-bunia-ch-elikya,BUNIA CH ELIKYA,hospital_isolation,bunia,Bunia,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,6,2026-05-20,2026-05-20,2,2,BUNIA CH ELIKYA,""
hosp-bunia-clibnique-benedicte,BUNIA Clibnique Bénedicte,hospital_isolation,bunia,Bunia,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,0,2026-05-20,2026-05-20,2,2,BUNIA Clibnique Bénedicte,""
hosp-bunia-hgr,BUNIA HGR,hospital_isolation,bunia,Bunia,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,6,2026-05-20,2026-05-20,2,2,BUNIA HGR,possible_host_variant;possible_same_host;possible_word_order
hosp-bunia-rwaole,BUNIA RWAOLE,hospital_isolation,bunia,Bunia,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,12,2026-05-20,2026-05-20,2,2,BUNIA RWAOLE,""
hosp-bunia-sofepadi,BUNIA SOFEPADI,hospital_isolation,bunia,Bunia,Ituri,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-20,4,2026-05-20,2026-05-20,2,2,BUNIA SOFEPADI,""
hosp-c-h-vukaka,C.H Vukaka,hospital_isolation,vukaka,Katwa,Nord-Kivu,2026-08-23,101,FALSE,,,,,2026-08-23,operating,2026-08-23,,,2026-08-23,1,1,C.H Vukaka,""
hosp-centre-hospitalier-pnc,centre hospitalier de la PNC,hospital_isolation,pnc,"","",2026-07-30,077,TRUE,,,,,2026-07-30,operating,2026-07-30,,,2026-07-30,1,1,centre hospitalier de la PNC,""
hosp-centre-hospitalier-tinge,centre hospitalier de Tinge,hospital_isolation,tinge,Kalunguta,Nord-Kivu,2026-09-11,120,FALSE,,,,,2026-09-11,operating,2026-09-11,,,2026-09-11,1,1,centre hospitalier de Tinge,""
hosp-centre-medical-evangelique-bunia,Centre Médical Évangélique de Bunia,hospital_isolation,bunia,Bunia,Ituri,2026-05-31,017,FALSE,,,,,2026-05-31,operating,2026-05-31,,,2026-05-31,1,1,Centre Médical Évangélique de Bunia,possible_host_variant
hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,2026-05-19,004,TRUE,,,,,2026-05-19,operating,2026-05-26,,,2026-05-26,9,9,Centre médical Evangélique de Rwampara,possible_host_variant
hosp-centre-sante-kyambogho,centre de santé de Kyambogho,hospital_isolation,kyambogho,Musienene,Nord-Kivu,2026-09-10,119,FALSE,,,,,2026-09-10,operating,2026-09-10,,,2026-09-10,1,1,centre de santé de Kyambogho,""
hosp-ch-cme,CH CME,hospital_isolation,"","","",2026-05-22,008,FALSE,,,,,2026-05-23,operating,2026-05-23,,,2026-05-23,2,2,CH CME,""
hosp-ch-elikya,CH Elikya,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-06-10,2,2,CH Elikya; CH ELIKYA,possible_host_variant
hosp-ch-felicite,CH Félicité,hospital_isolation,felicite,Butembo,Nord-Kivu,2026-06-16,033,FALSE,,,,,2026-06-16,operating,2026-06-16,,,2026-06-16,1,1,CH Félicité,""
hosp-ch-joie,CH La Joie,hospital_isolation,kanzulinzuli,Beni,Nord-Kivu,2026-08-03,081,FALSE,,,,,2026-08-03,operating,2026-08-03,,,2026-08-03,1,1,CH La Joie,""
hosp-ch-mutiri,CH MUTIRI,hospital_isolation,mutiri,Katwa,Nord-Kivu,2026-06-21,038,FALSE,,,,,2026-07-01,operating,2026-07-01,,,2026-07-01,3,3,CH Mutiri; CH MUTIRI,""
hosp-ch-providence,CH LA PROVIDENCE,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-05-24,1,1,CH LA PROVIDENCE,""
hosp-ch-sainte-rita,CH SAINTE RITA,hospital_isolation,sainte rita,"",Nord-Kivu,2026-07-05,052,FALSE,,,,,2026-07-05,operating,2026-07-05,,,2026-07-05,1,1,CH SAINTE RITA,""
hosp-ch-salama,CH SALAMA,hospital_isolation,salama,Rwampara,Ituri,2026-05-22,008,FALSE,,,,,2026-05-24,operating,2026-05-27,,,2026-05-27,3,3,CH Salama; CH SALAMA,""
hosp-ch-verite,CH La Vérité,hospital_isolation,verite,Butembo,Nord-Kivu,2026-06-11,028,FALSE,,,,,2026-06-14,operating,2026-06-16,,,2026-07-10,5,5,CH la VERITE; CH LA VERITE; CH La vérité; CH La Vérité,""
hosp-citadele,CITADELE,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-05-24,1,1,CITADELE,""
hosp-clinique-benedicte,Clinique Bénedicte,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-05-24,1,1,Clinique Bénedicte,""
hosp-clinique-citadelle,Clinique CITADELLE,hospital_isolation,bunia,Bunia,Ituri,2026-05-23,009,FALSE,,,,,2026-05-23,operating,2026-05-23,,,2026-05-23,1,1,Clinique CITADELLE,""
hosp-clinique-est,Clinique de l'Est,hospital_isolation,est,"",Haut-Uele,2026-08-03,081,FALSE,,,,,2026-08-03,operating,2026-08-03,,,2026-08-03,1,1,Clinique de l'Est,""
hosp-cliniques-universitaires-bukavu,Cliniques universitaires de Bukavu,hospital_isolation,bukavu,"",Sud-Kivu,2026-08-02,080,FALSE,,,,,2026-08-02,operating,2026-08-02,,,2026-08-02,1,1,Cliniques universitaires de Bukavu,""
hosp-cliniques-universitaires-uele,cliniques universitaires de l'Uélé,hospital_isolation,s universitaires uele,"","",2026-08-05,083,FALSE,,,,,2026-08-05,operating,2026-08-05,,,2026-08-05,1,1,cliniques universitaires de l'Uélé,""
hosp-cm-mathysen,CM MATHYSEN,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-05-24,1,1,CM MATHYSEN,""
hosp-cm-merites,CM LES MERITES,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-05-24,1,1,CM LES MERITES,""
hosp-cme-bunia,CME/BUNIA,hospital_isolation,bunia,Bunia,Ituri,2026-05-27,013,FALSE,2026-05-27,,,,2026-06-18,operating,2026-06-18,,,2026-06-18,3,3,CME de Bunia; CME/BUNIA,possible_host_variant;possible_same_site
hosp-cme-nyankunde,CME Nyankunde,hospital_isolation,nyankunde,Rwampara,Ituri,2026-05-19,004,TRUE,,,,,2026-05-19,operating,2026-06-07,,,2026-06-07,3,3,CME Nyankunde,possible_host_variant;possible_same_site
hosp-cme-zs-rwampara,CME/Zs Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,2026-05-31,017,FALSE,,,,,2026-05-31,operating,2026-05-31,,,2026-05-31,1,1,CME/Zs Rwampara,""
hosp-cs-bundji,CS Bundji,hospital_isolation,bundji,Beni,Nord-Kivu,2026-07-11,058,FALSE,,,,,2026-07-11,operating,2026-07-11,,,2026-07-31,3,3,CS Bundji,possible_host_variant;possible_spelling_variant
hosp-cs-bunji,CS Bunji,hospital_isolation,bunji,"",Nord-Kivu,2026-06-27,044,TRUE,,,,,2026-06-27,operating,2026-06-27,,,2026-06-27,1,1,CS Bunji,possible_spelling_variant
hosp-cs-fedi,CS FEDI,hospital_isolation,fedi,Mangobo,Tshopo,2026-07-18,065,FALSE,,,,,2026-07-18,operating,2026-07-27,,,2026-09-13,4,4,CS Fedi; CS FEDI,""
hosp-cs-fedi-mangobo,CS FEDI de Mangobo,hospital_isolation,mangobo,Mangobo,Tshopo,2026-07-26,073,FALSE,,,,,2026-07-26,operating,2026-07-26,,,2026-07-26,1,1,CS FEDI de Mangobo,""
hosp-cs-hoho,CS Hoho,hospital_isolation,hoho,Rwampara,Ituri,2026-05-23,009,FALSE,,,,,2026-05-23,operating,2026-05-23,,,2026-06-30,3,3,CS hoho; CS Hoho,""
hosp-cs-kasindi,CS Kasindi,hospital_isolation,kasindi,Mutwanga,Nord-Kivu,2026-09-05,114,FALSE,,,,,2026-09-05,operating,2026-09-05,,,2026-09-05,1,1,CS Kasindi,""
hosp-cs-makerere,CS Makerere,hospital_isolation,makerere,"","",2026-06-19,036,FALSE,,,,,2026-06-19,operating,2026-06-19,,,2026-06-19,1,1,CS Makerere,""
hosp-csr-kyavonyonge,CSR Kyavonyonge,hospital_isolation,kyavonyonge,Kyondo,Nord-Kivu,2026-06-21,038,FALSE,,,,,2026-06-21,operating,2026-06-21,,,2026-06-21,1,1,CSR Kyavonyonge,""
hosp-cug-butembo,CUG de Butembo,hospital_isolation,butembo,Butembo,Nord-Kivu,2026-07-10,057,FALSE,,,,,2026-07-10,operating,2026-07-10,,,2026-07-10,1,1,CUG de Butembo,""
hosp-dispensaire-maman-regine,dispensaire Maman Régine,hospital_isolation,dispensaire maman regine,Lubunga,Tshopo,2026-08-03,081,FALSE,,,,,2026-08-03,operating,2026-08-03,,,2026-08-05,2,2,dispensaire Maman Régine,""
hosp-elikya,Elikya,hospital_isolation,elikya,Bunia,Ituri,2026-06-08,025,FALSE,,,,,2026-06-08,operating,2026-08-26,,,2026-08-26,2,2,Elikya,possible_host_variant;possible_same_site
hosp-fomulac,Fomulac,hospital_isolation,fomulac,Katana,Sud-Kivu,2026-07-12,059,FALSE,,,,,2026-07-12,operating,2026-07-12,,,2026-07-12,1,1,Fomulac,possible_same_host;possible_same_site
hosp-hckis,HCKis,hospital_isolation,kis,"",Tshopo,2026-07-18,065,FALSE,,,,,2026-07-18,operating,2026-07-18,,,2026-07-18,1,1,HCKis,possible_same_site
hosp-hgr-aru,HGR Aru,hospital_isolation,aru,Aru,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-31,,,2026-05-31,4,4,HGR Aru; HGR ARU,possible_same_site
hosp-hgr-bambu,HGR Bambu,hospital_isolation,bambu,Bambu,Ituri,2026-05-23,009,FALSE,,,,,2026-05-24,operating,2026-05-31,,,2026-06-20,6,6,HGR Bambu; HGR BAMBU,""
hosp-hgr-bunia,HGR Bunia,hospital_isolation,bunia,Bunia,Ituri,2026-05-19,004,TRUE,2026-05-20,2026-06-07,024,,2026-05-20,operating,2026-09-05,60,2026-07-04,2026-09-05,32,35,HGR Bunia; HGR BUNIA; HGR de Bunia; l’HGR de Bunia,possible_host_variant;possible_same_host;possible_same_site;possible_word_order
hosp-hgr-fomulac-katana,HGR FOMULAC Katana,hospital_isolation,katana,Katana,Sud-Kivu,2026-06-03,020,FALSE,,,,,2026-06-03,operating,2026-06-07,,,2026-06-07,2,2,HGR FOMULAC Katana; HGR FOMULAC KATANA,""
hosp-hgr-ganga,HGR de Ganga,hospital_isolation,ganga,Ganga,Bas-Uele,2026-08-24,102,FALSE,,,,,2026-08-24,operating,2026-09-13,,,2026-09-13,8,8,HGR de Ganga; HGR Ganga,""
hosp-hgr-katana,HGR Katana,hospital_isolation,katana,Katana,Sud-Kivu,2026-06-04,021,FALSE,,,,,2026-06-04,operating,2026-06-04,,,2026-06-08,3,3,HGR Katana; HGR KATANA,possible_host_variant;possible_same_host
hosp-hgr-kitatumba,HGR Kitatumba,hospital_isolation,kitatumba,Butembo,Nord-Kivu,2026-06-15,032,FALSE,,,,,2026-06-17,operating,2026-06-17,,,2026-07-24,4,4,HGR Kitatumba; HGR KITATUMBA,""
hosp-hgr-mabalako,HGR Mabalako,hospital_isolation,mabalako,Mabalako,Nord-Kivu,2026-07-08,055,FALSE,,,,,2026-07-08,operating,2026-07-08,,,2026-07-08,1,1,HGR Mabalako,""
hosp-hgr-mambasa,HGR Mambasa,hospital_isolation,mambasa,Mambasa,Ituri,2026-07-02,049,FALSE,,,,,2026-07-02,operating,2026-08-28,,,2026-08-28,2,2,HGR Mambasa,""
hosp-hgr-mongbwalu,HGR Mongbwalu,hospital_isolation,mongbwalu,Mongbwalu,Ituri,2026-05-14,001,FALSE,2026-05-14,,,,2026-05-14,under_construction,2026-06-30,12,2026-05-20,2026-06-30,15,17,HGR Mongbwalu; HGR MONGBWALU,possible_host_variant;possible_same_host;possible_same_site;possible_spelling_variant
hosp-hgr-mungbwalu,HGR MUNGBWALU,hospital_isolation,mungbwalu,Mongbwalu,Ituri,2026-05-26,012,FALSE,,,,,2026-05-27,operating,2026-05-28,40,2026-05-28,2026-05-28,3,3,HGR Mungbwalu; HGR MUNGBWALU,possible_spelling_variant
hosp-hgr-musienene,HGR MUSIENENE,hospital_isolation,musienene,Musienene,Nord-Kivu,2026-07-05,052,FALSE,,,,,2026-07-05,operating,2026-07-05,,,2026-07-05,1,1,HGR MUSIENENE,possible_same_site
hosp-hgr-nia-nia,HGR de Nia-Nia,hospital_isolation,nia nia,Nia-Nia,Ituri,2026-07-10,057,FALSE,,,,,2026-07-10,operating,2026-07-10,,,2026-07-10,1,1,HGR de Nia-Nia,possible_same_site
hosp-hgr-nyakunde,HGR NYAKUNDE,hospital_isolation,nyakunde,Nyakunde,Ituri,2026-05-26,012,FALSE,,,,,2026-05-27,operating,2026-05-28,,,2026-07-02,4,4,HGR Nyakunde; HGR NYAKUNDE,possible_spelling_variant
hosp-hgr-nyankunde,HGR Nyankunde,hospital_isolation,nyankunde,Nyankunde,Ituri,2026-05-20,006,FALSE,2026-06-13,,,,2026-05-20,operating,2026-08-30,11,2026-05-20,2026-08-30,9,9,HGR Nyankunde; HGR NYANKUNDE,possible_host_variant;possible_same_site;possible_spelling_variant
hosp-hgr-oicha,HGR Oicha,hospital_isolation,oicha,Oicha,Nord-Kivu,2026-07-08,055,FALSE,,,,,2026-07-08,operating,2026-07-08,,,2026-07-08,1,1,HGR Oicha,possible_same_site
hosp-hgr-pawa,HGR de Pawa,hospital_isolation,pawa,Pawa,Haut-Uele,2026-08-03,081,FALSE,,,,,2026-08-03,operating,2026-08-03,,,2026-08-03,1,1,HGR de Pawa,""
hosp-hgr-rwampara,HGR Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,2026-05-24,010,FALSE,2026-05-24,2026-06-07,024,,2026-05-24,under_construction,2026-06-30,18,2026-05-28,2026-07-03,16,20,HGR Rwampara; HGR RWAMPARA; HGR zone de santé de Rwampara; l’HGR Rwampara,possible_host_variant;possible_same_host;possible_same_site;possible_word_order
hosp-hgr-tchomia,HGR de Tchomia,hospital_isolation,tchomia,Tchomia,Ituri,2026-08-13,091,FALSE,,,,,2026-08-13,operating,2026-08-13,,,2026-08-13,1,1,HGR de Tchomia,""
hosp-hgr-vuhovi,HGR de Vuhovi,hospital_isolation,vuhovi,Vuhovi,Nord-Kivu,2026-08-08,086,FALSE,2026-08-08,,,,,under_construction,2026-08-20,,,2026-08-21,11,11,HGR de Vuhovi; HGR Vuhovi,""
hosp-hgr-wamba,HGR de Wamba,hospital_isolation,wamba,Wamba,Haut-Uele,2026-08-18,096,FALSE,2026-08-18,,,,2026-08-18,under_construction,2026-08-19,,,2026-08-19,2,4,HGR de Wamba,""
hosp-hgr-zs-nyankunde,HGR de la ZS de Nyankunde,hospital_isolation,nyankunde,Nyankunde,Ituri,2026-06-07,024,FALSE,,,,,2026-06-07,operating,2026-06-07,,,2026-06-07,1,1,HGR de la ZS de Nyankunde,""
hosp-hopital-heal-africa,hopital Heal Africa,hospital_isolation,goma,Goma,Nord-Kivu,2026-06-04,021,FALSE,,,,,2026-06-04,operating,2026-06-04,,,2026-06-04,1,1,hopital Heal Africa,""
hosp-hopital-mambangu,Hôpital de Mambangu,hospital_isolation,mambangu,"","",2026-07-11,058,FALSE,,,,,2026-07-11,operating,2026-07-11,,,2026-07-11,1,1,Hôpital de Mambangu,""
hosp-hopital-matanda,Hôpital Matanda,hospital_isolation,matanda,Katwa,Nord-Kivu,2026-05-20,006,FALSE,,,,,2026-05-20,operating,2026-05-23,,,2026-05-23,5,5,Hôpital Matanda,possible_same_site
hosp-hopital-militaire-makiso-kisangani,hôpital militaire de Makiso-Kisangani,hospital_isolation,makiso kisangani,Makiso Kisangani,Tshopo,2026-08-12,090,FALSE,,,,,2026-08-12,operating,2026-08-12,,,2026-08-12,1,1,hôpital militaire de Makiso-Kisangani,""
hosp-hopital-mongbwalu,hôpital Mongbwalu,hospital_isolation,mongbwalu,Mongbwalu,Ituri,2026-05-14,001,FALSE,,,,,,mention_only,,,,2026-05-14,1,1,hôpital Mongbwalu,possible_host_variant;possible_same_host
hosp-katana,Katana,hospital_isolation,katana,Katana,Sud-Kivu,2026-08-02,080,FALSE,,,,,2026-08-02,operating,2026-08-02,,,2026-08-02,1,1,Katana,possible_host_variant;possible_same_host
hosp-lwiro,Lwiro,hospital_isolation,lwiro,Miti Murhesa,Sud-Kivu,2026-07-12,059,FALSE,,,,,2026-07-12,operating,2026-08-02,,,2026-08-02,2,2,Lwiro,possible_same_site
hosp-malepe,Malepe,hospital_isolation,malepe,Beni,Nord-Kivu,2026-07-02,049,FALSE,,,,,2026-07-02,operating,2026-07-02,,,2026-07-02,1,1,Malepe,""
hosp-ps-divine,PS Divine,hospital_isolation,divine,"","",2026-07-01,048,FALSE,,,,,2026-07-01,operating,2026-07-01,,,2026-07-01,1,1,PS Divine,""
hosp-rwakole,RWAKOLE,hospital_isolation,bunia,Bunia,Ituri,2026-05-24,010,FALSE,,,,,2026-05-24,operating,2026-05-24,,,2026-05-24,1,1,RWAKOLE,""
