sitrep,report_date,facility_id,facility_raw,name_status,site_kind,place_key,place_raw,event,event_date,beds,health_zone,province,status_note,evidence_quote,confidence,model
001,2026-05-14,hosp-hgr-mongbwalu,HGR Mongbwalu,named,hospital_isolation,mongbwalu,Mongbwalu,operating,,,Mongbwalu,Ituri,Fifty-five hospital deaths occurred at HGR Mongbwalu.,| Décès hospitaliers HGR Mongbwalu | 55 |,high,agy:gemini-3.1-pro-low
001,2026-05-14,hosp-hgr-mongbwalu,HGR Mongbwalu,named,hospital_isolation,mongbwalu,Mongbwalu,planned,,,Mongbwalu,Ituri,Preparations for patient isolation are underway at HGR Mongbwalu.,"Briefing PCI : hygiène de main, gestion des déchets et l’isolement de malade ✓ Préparation de l’isolement à HGR Mongbwalu",high,agy:gemini-3.1-pro-low
001,2026-05-14,hosp-hopital-mongbwalu,hôpital Mongbwalu,named,hospital_isolation,mongbwalu,Mongbwalu,mention_only,,,Mongbwalu,Ituri,Active search for suspect cases was conducted at Mongbwalu hospital.,"Recherche active des cas suspect FHA à l’hôpital Mongbwalu,",high,agy:gemini-3.1-pro-low
001,2026-05-14,site-cs-abelkozo,CS Abelkozo,named,other,abelkozo,Abelkozo,mention_only,,,Mongbwalu,Ituri,Infection prevention and control was evaluated at CS Abelkozo.,"Evaluation PCI, CS Abelkozo (score 7%), HGR Mongbwalu (score 34%)",high,agy:gemini-3.1-pro-low
002,2026-05-17,site-cs-abelkozo,CS Abelkozo,named,other,abelkozo,Abelkozo,mention_only,,,"","",The facility underwent an infection prevention and control evaluation.,"Evaluation PCI, CS Abelkozo (score 7%), HGR Mongbwalu (score 34%).",high,agy:gemini-3.1-pro-low
002,2026-05-17,site-hgr-mongbwalu,HGR de Mongbwalu,named,other,mongbwalu,Mongbwalu,mention_only,,,Mongbwalu,Ituri,A review of patient files was conducted at the hospital.,"Sur la période du 1er avril au 14 mai 2026, un relevé de 256 dossiers de malades a été effectué à l’HGR de Mongbwalu, dont 141 cas en avril et 115 cas en mai.",high,agy:gemini-3.1-pro-low
004,2026-05-19,"",CME,ambiguous,other,"","",mention_only,,,Rwampara,Ituri,Some rooms in the internal medicine pavilion of this facility were disinfected.,"Désinfection des quelques locaux du pavillon de médecine interne du CME, Clinique Tumaini",high,agy:gemini-3.1-pro-low
004,2026-05-19,"",unité d’isolement,unnamed,isolation_centre,"","",mention_only,,,Mongbwalu,Ituri,Decontamination was carried out on an isolation unit.,"Décontamination d’unité d’isolement,",low,agy:gemini-3.1-pro-low
005,2026-05-19,"",unité d’isolement,unnamed,other,"","",mention_only,,,Mongbwalu,Ituri,An isolation unit underwent decontamination.,"Décontamination d’unité d’isolement,",low,agy:gemini-3.1-pro-low
004,2026-05-19,"",CTE,unnamed,treatment_centre,"","",planned,,,"","",Prospection of a site to install an Ebola treatment center is underway.,Prospection du lieu d’installation de CTE,high,agy:gemini-3.1-pro-low
005,2026-05-19,"",CTE,unnamed,treatment_centre,"","",planned,,,"","",A location is being prospected for the installation of a treatment center.,Prospection du lieu d’installation de CTE,high,agy:gemini-3.1-pro-low
005,2026-05-19,ci-cs-shari,CS SHARI,named,isolation_centre,shari,"",mention_only,,,Rwampara,Ituri,Healthcare providers were supported in implementing hand hygiene practices.,"Accompagnement des prestataires de soin dans la mise en pratique de l’hygienne de mains de CS SHARI, DELE et Poste de Santé la Victoire,",high,agy:gemini-3.1-pro-low
005,2026-05-19,cte-mongbwalu,CTE Mongwalu,named,treatment_centre,mongwalu,Mongwalu,operating,,,Mongbwalu,Ituri,Three healthcare providers at the treatment center received a briefing on standard precautions.,"Briefing de 3 prestataires de CTE Mongwalu sur les précautions standard,",high,agy:gemini-3.1-pro-low
004,2026-05-19,hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,named,hospital_isolation,rwampara,Rwampara,operating,,,Rwampara,Ituri,Suspected viral hemorrhagic fever patients died while interned at this facility.,décès suspects de fièvre hémorragique virale chez des malades internés au Centre médical Evangélique de Rwampara,high,agy:gemini-3.1-pro-low
005,2026-05-19,hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,named,hospital_isolation,rwampara,Rwampara,operating,,,Rwampara,Ituri,Suspect deaths from viral hemorrhagic fever were reported among patients admitted to the facility.,des décès suspects de fièvre hémorragique virale chez des malades internés au Centre médical Evangélique de Rwampara,high,agy:gemini-3.1-pro-low
004,2026-05-19,hosp-cme-nyankunde,CME Nyankunde,named,hospital_isolation,nyankunde,Nyankunde,operating,,,Rwampara,Ituri,"An evaluation has begun at this facility, where 18 suspect patients are present but lack isolation.","Début de l’évaluation du CME Nyankunde, présence de 18 malades suspects mais sans Isolément",high,agy:gemini-3.1-pro-low
004,2026-05-19,hosp-hgr-bunia,HGR Bunia,named,hospital_isolation,bunia,Bunia,mention_only,,,Bunia,Ituri,Safe and dignified burials and decontamination activities were carried out here.,"3 EDS réalisés et la décontamination : HGR Bunia, CEM Nyankunde, CS. Les merites,",high,agy:gemini-3.1-pro-low
005,2026-05-19,hosp-hgr-bunia,HGR Bunia,named,hospital_isolation,bunia,Bunia,mention_only,,,Bunia,Ituri,A safe and dignified burial was conducted and the hospital was decontaminated.,"1 EDS réalisés et la décontamination: HGR Bunia,",high,agy:gemini-3.1-pro-low
004,2026-05-19,hosp-hgr-mongbwalu,HGR Mongbwalu,named,hospital_isolation,mongbwalu,Mongbwalu,mention_only,,,Mongbwalu,Ituri,Five healthcare providers at this hospital received a briefing.,"Briefing de 5 prestataires de l’HGR Mongbwalu,",high,agy:gemini-3.1-pro-low
004,2026-05-19,site-cem-nyankunde,CEM Nyankunde,named,other,nyankunde,Nyankunde,mention_only,,,Bunia,Ituri,Safe and dignified burials and decontamination activities were carried out here.,"3 EDS réalisés et la décontamination : HGR Bunia, CEM Nyankunde, CS. Les merites,",high,agy:gemini-3.1-pro-low
004,2026-05-19,site-clinique-dieu-gueri,clinique Dieu Guéri,named,other,dieu gueri,"",mention_only,,,Rwampara,Ituri,A clinical evaluation gave this facility a scorecard of 28%.,Evaluation clinique Dieu Guéri : scorecard de 28 %,high,agy:gemini-3.1-pro-low
005,2026-05-19,site-clinique-grace-divine,Clinique la GRACE DIVINE,named,other,grace divine,"",mention_only,,,Rwampara,Ituri,The clinic was decontaminated.,Décontamination de la Clinique la GRACE DIVINE et CM GLORIA,high,agy:gemini-3.1-pro-low
004,2026-05-19,site-clinique-tumaini,Clinique Tumaini,named,other,tumaini,"",mention_only,,,Rwampara,Ituri,Disinfection activities were carried out at this clinic.,"Désinfection des quelques locaux du pavillon de médecine interne du CME, Clinique Tumaini",high,agy:gemini-3.1-pro-low
005,2026-05-19,site-cm-gloria,CM GLORIA,named,other,gloria,"",mention_only,,,Rwampara,Ituri,The medical center was decontaminated.,Décontamination de la Clinique la GRACE DIVINE et CM GLORIA,high,agy:gemini-3.1-pro-low
004,2026-05-19,site-cs-merites,CS. Les merites,named,other,merites,"",mention_only,,,Bunia,Ituri,Safe and dignified burials and decontamination activities were carried out at this health center.,"3 EDS réalisés et la décontamination : HGR Bunia, CEM Nyankunde, CS. Les merites,",high,agy:gemini-3.1-pro-low
005,2026-05-19,site-dele,DELE,named,other,dele,"",mention_only,,,Rwampara,Ituri,Healthcare providers received support on hand hygiene practices.,"Accompagnement des prestataires de soin dans la mise en pratique de l’hygienne de mains de CS SHARI, DELE et Poste de Santé la Victoire,",high,agy:gemini-3.1-pro-low
005,2026-05-19,site-hgr-mongwalu,HGR Mongwalu,named,other,mongwalu,Mongwalu,mention_only,,,Mongbwalu,Ituri,A shortage of cleaning staff was noted at the hospital.,"Insuffisance des Techniciens de Surface dans l’HGR Mongwalu,",high,agy:gemini-3.1-pro-low
005,2026-05-19,site-poste-sante-victoire,Poste de Santé la Victoire,named,other,victoire,"",mention_only,,,Rwampara,Ituri,Support was provided to healthcare staff for the implementation of hand hygiene practices.,"Accompagnement des prestataires de soin dans la mise en pratique de l’hygienne de mains de CS SHARI, DELE et Poste de Santé la Victoire,",high,agy:gemini-3.1-pro-low
006,2026-05-20,"",CTE,unnamed,treatment_centre,"","",mention_only,,,"",Nord-Kivu,An assessment of the treatment center was conducted to determine infection control needs.,"État de lieu du CTE pour le dégagement des besoins en intrants PCI (Epi, approvisionnement en eau, gestion des déchets, circuit du malade).",high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,"",CTE,unnamed,treatment_centre,"","",mention_only,,,"",Nord-Kivu,An assessment of the treatment centre was conducted to identify infection prevention and control needs.,"État de lieu du CTE pour le dégagement des besoins en intrants PCI (Epi, approvisionnement en eau, gestion des déchets, circuit du malade).",low,agy:gemini-3.1-pro-low
006,2026-05-20,"",CME,ambiguous,hospital_isolation,"","",operating,,,"","",The nutritional status of patients isolated at the facility was evaluated.,Evaluation de l’état nutritionnel des malades en isolement au CME.,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-bunia-ch-elikya,BUNIA CH ELIKYA,named,hospital_isolation,bunia,Bunia,operating,,6,Bunia,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| BUNIA RWAOLE | BUNIA CH ELIKYA | BUNIA TOTAL |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-bunia-ch-elikya,BUNIA CH ELIKYA,named,hospital_isolation,bunia,Bunia,operating,,6,Bunia,Ituri,The facility has 6 beds and is isolating patients.,| BUNIA RWAOLE | BUNIA CH ELIKYA | BUNIA TOTAL | RWAMPARA HGR |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-bunia-clibnique-benedicte,BUNIA Clibnique Bénedicte,named,hospital_isolation,bunia,Bunia,operating,,0,Bunia,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| BUNIA SOFEPADI | BUNIA Clibnique Bénedicte | BUNIA RWAOLE |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-bunia-clibnique-benedicte,BUNIA Clibnique Bénedicte,named,hospital_isolation,bunia,Bunia,operating,,0,Bunia,Ituri,The facility has patients in isolation.,| BUNIA SOFEPADI | BUNIA Clibnique Bénedicte | BUNIA RWAOLE | BUNIA CH ELIKYA |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-bunia-hgr,BUNIA HGR,named,hospital_isolation,bunia,Bunia,operating,,6,Bunia,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| Indicateurs | BUNIA HGR | BUNIA SOFEPADI |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-bunia-hgr,BUNIA HGR,named,hospital_isolation,bunia,Bunia,operating,,6,Bunia,Ituri,The facility has 6 beds and is isolating patients.,| Indicateurs | BUNIA HGR | BUNIA SOFEPADI | BUNIA Clibnique Bénedicte |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-bunia-rwaole,BUNIA RWAOLE,named,hospital_isolation,bunia,Bunia,operating,,12,Bunia,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| BUNIA Clibnique Bénedicte | BUNIA RWAOLE | BUNIA CH ELIKYA |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-bunia-rwaole,BUNIA RWAOLE,named,hospital_isolation,bunia,Bunia,operating,,12,Bunia,Ituri,The facility has 12 beds and is isolating patients.,| BUNIA Clibnique Bénedicte | BUNIA RWAOLE | BUNIA CH ELIKYA | BUNIA TOTAL |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-bunia-sofepadi,BUNIA SOFEPADI,named,hospital_isolation,bunia,Bunia,operating,,4,Bunia,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| BUNIA HGR | BUNIA SOFEPADI | BUNIA Clibnique Bénedicte |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-bunia-sofepadi,BUNIA SOFEPADI,named,hospital_isolation,bunia,Bunia,operating,,4,Bunia,Ituri,The facility has 4 beds and is isolating patients.,| BUNIA HGR | BUNIA SOFEPADI | BUNIA Clibnique Bénedicte | BUNIA RWAOLE |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,named,hospital_isolation,rwampara,Rwampara,operating,,,Rwampara,Ituri,Suspect cases originating from Mongbwalu were isolated and died at this facility.,"décès suspects de fièvre hémorragique virale chez des malades internés au Centre médical Evangélique de Rwampara, provenant de Mongbwalu.",high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-hgr-bunia,HGR Bunia,named,hospital_isolation,bunia,Bunia,expanded,,,Bunia,Ituri,Two isolation tents are being set up at the hospital.,Montage de deux tentes d’isolement en cours à l’HGR Bunia ;,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-hgr-bunia,HGR Bunia,named,hospital_isolation,bunia,Bunia,under_construction,,,Bunia,Ituri,Two isolation tents are currently being set up at the hospital.,Montage de deux tentes d’isolement en cours à l’HGR Bunia ;,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-hgr-mongbwalu,HGR MONGBWALU,named,hospital_isolation,mongbwalu,Mongbwalu,operating,,12,Mongbwalu,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| RWAMPARA TOTAL | HGR MONGBWALU | HGR NYANKUNDE |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-hgr-mongbwalu,HGR MONGBWALU,named,hospital_isolation,mongbwalu,Mongbwalu,operating,,12,Mongbwalu,Ituri,The facility has 12 beds and is isolating patients.,| RWAMPARA TOTAL | HGR MONGBWALU | HGR NYANKUNDE | TOTAL GENERAL |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-hgr-nyankunde,HGR NYANKUNDE,named,hospital_isolation,nyankunde,Nyankunde,operating,,11,Nyankunde,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| HGR MONGBWALU | HGR NYANKUNDE | TOTAL GENERAL |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-hgr-nyankunde,HGR NYANKUNDE,named,hospital_isolation,nyankunde,Nyankunde,operating,,11,Nyankunde,Ituri,The facility has 11 beds and is isolating patients.,| HGR MONGBWALU | HGR NYANKUNDE | TOTAL GENERAL |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-hopital-matanda,Hôpital Matanda,named,hospital_isolation,matanda,Matanda,operating,,,Katwa,Nord-Kivu,"A confirmed patient from the Katwa health zone is staying at the hospital, which was decontaminated.",Decontamination de l’Hôpital Matanda où séjourne le cas confirmé de la ZS de Katwa;,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-hopital-matanda,Hôpital Matanda,named,hospital_isolation,matanda,"",operating,,,Katwa,Nord-Kivu,The hospital is holding a confirmed Ebola case.,Decontamination de l’Hôpital Matanda où séjourne le cas confirmé de la ZS de Katwa;,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-rwampara-ch-salama,RWAMPARA CH SALAMA,named,hospital_isolation,rwampara,Rwampara,operating,,10,Rwampara,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| RWAMPARA CME | RWAMPARA CH SALAMA | RWAMPARA CS HOHO |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-rwampara-ch-salama,RWAMPARA CH SALAMA,named,hospital_isolation,rwampara,Rwampara,operating,,10,Rwampara,Ituri,The facility has 10 beds and is isolating patients.,| RWAMPARA CME | RWAMPARA CH SALAMA | RWAMPARA CS HOHO | RWAMPARA TOTAL |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-rwampara-cme,RWAMPARA CME,named,hospital_isolation,rwampara,Rwampara,operating,,100,Rwampara,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| RWAMPARA HGR | RWAMPARA CME | RWAMPARA CH SALAMA |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-rwampara-cme,RWAMPARA CME,named,hospital_isolation,rwampara,Rwampara,operating,,100,Rwampara,Ituri,The facility has 100 beds and is isolating patients.,| RWAMPARA HGR | RWAMPARA CME | RWAMPARA CH SALAMA | RWAMPARA CS HOHO |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-rwampara-cs-hoho,RWAMPARA CS HOHO,named,hospital_isolation,rwampara,Rwampara,operating,,0,Rwampara,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| RWAMPARA CH SALAMA | RWAMPARA CS HOHO | RWAMPARA TOTAL |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-rwampara-cs-hoho,RWAMPARA CS HOHO,named,hospital_isolation,rwampara,Rwampara,operating,,0,Rwampara,Ituri,The facility has patients in isolation.,| RWAMPARA CH SALAMA | RWAMPARA CS HOHO | RWAMPARA TOTAL | HGR MONGBWALU |,high,agy:gemini-3.1-pro-low
006,2026-05-20,hosp-rwampara-hgr,RWAMPARA HGR,named,hospital_isolation,rwampara,Rwampara,operating,,16,Rwampara,Ituri,"The facility's bed capacity and patient movement, including those in isolation, are recorded.",| BUNIA TOTAL | RWAMPARA HGR | RWAMPARA CME |,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,hosp-rwampara-hgr,RWAMPARA HGR,named,hospital_isolation,rwampara,Rwampara,operating,,16,Rwampara,Ituri,The facility has 16 beds and is isolating patients.,| BUNIA TOTAL | RWAMPARA HGR | RWAMPARA CME | RWAMPARA CH SALAMA |,high,agy:gemini-3.1-pro-low
006,2026-05-20,site-cme-nyakunde,CME Nyakunde,named,other,nyakunde,Nyakunde,mention_only,,,Rwampara,"",Healthcare workers at the facility received a briefing on biomedical waste management.,"Poursuite de briefing des 63 prestataires de soins (Hygiénistes, infirmiers, Médecins et Sage-femmes) de CME Nyakunde) sur la gestion des déchets Biomédicaux.",high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,site-cme-nyakunde,CME Nyakunde,named,other,nyakunde,Nyakunde,mention_only,,,Rwampara,Ituri,Healthcare workers at the facility received a briefing on biomedical waste management.,"Poursuite de briefing des 63 prestataires de soins (Hygiénistes, infirmiers, Médecins et Sage-femmes) de CME Nyakunde) sur la gestion des déchets Biomédicaux.",high,agy:gemini-3.1-pro-low
006,2026-05-20,site-cs-rwampara,CS Rwampara,named,other,rwampara,Rwampara,mention_only,,,Mongbwalu,Ituri,The health facility received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,site-cs-rwampara,CS Rwampara,named,other,rwampara,Rwampara,mention_only,,,Mongbwalu,Ituri,The health centre received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
006,2026-05-20,site-cs-tchunga,CS Tchunga,named,other,tchunga,"",mention_only,,,Mongbwalu,"",The health facility received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,site-cs-tchunga,CS Tchunga,named,other,tchunga,"",mention_only,,,Mongbwalu,Ituri,The health centre received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
006,2026-05-20,site-cs-uponyaji,CS Uponyaji,named,other,uponyaji,"",mention_only,,,Mongbwalu,"",The health facility received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,site-cs-uponyaji,CS Uponyaji,named,other,uponyaji,"",mention_only,,,Mongbwalu,Ituri,The health centre received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
006,2026-05-20,site-hgr-bunia,HGR-Bunia,named,other,bunia,Bunia,mention_only,,,Bunia,Ituri,The isolation building of the hospital was decontaminated.,Décontamination du bâtiment d'isolement de l’HGR-Bunia.,high,agy:gemini-3.1-pro-low
006,2026-05-20,site-hgr-rwampara,HGR/Rwampara,named,other,rwampara,Rwampara,mention_only,,,Rwampara,Ituri,The isolation room at the hospital was decontaminated.,Décontamination de la salle d'isolement à l'HGR/Rwampara;,high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,site-morgue-balidja,Morgue BALIDJA,named,other,morgue balidja,"",mention_only,,,Rwampara,Ituri,Staff at the morgue received a briefing on wearing PPE before handling bodies.,Briefing des 4 personnels de la Morgue BALIDJA sur le port des EPI avant la manipulation de tout corps ;,high,agy:gemini-3.1-pro-low
006,2026-05-20,site-poste-sante-amani,Poste de santé Amani,named,other,amani,"",mention_only,,,Mongbwalu,"",The health facility received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
006_v2,2026-05-20,site-poste-sante-amani,Poste de santé Amani,named,other,amani,"",mention_only,,,Mongbwalu,Ituri,The health post received a formative supervision visit.,"Supervision formative dans 4 structures de santé dont : CS Uponyaji, CS Rwampara, Poste de santé Amani et CS Tchunga (sans faire l'évaluation);",high,agy:gemini-3.1-pro-low
007,2026-05-21,"",CTE,unnamed,treatment_centre,"","",mention_only,,,"",Nord-Kivu,An assessment of the treatment center was conducted to identify infection control needs.,État de lieu du CTE pour le dégagement des besoins en intrants PCI,low,agy:gemini-3.1-pro-low
007,2026-05-21,"",CME,ambiguous,hospital_isolation,"","",operating,,,"",Ituri,The nutritional status of isolated patients at the facility is being evaluated.,Evaluation de l’état nutritionnel des malades en isolement au CME.,low,agy:gemini-3.1-pro-low
007,2026-05-21,"",Mongbwalu,unnamed,hospital_isolation,mongbwalu,Mongbwalu,operating,,,Mongbwalu,Ituri,The facility is isolating and treating patients.,| Indicateurs 1 | Indicateurs 2 | HGR Bunia | RWAMPARA | RWAMPARA | Mongbwalu | Mongbwalu | Nyankunde | Total Général |,high,agy:gemini-3.1-pro-low
007,2026-05-21,"",Nyankunde,unnamed,hospital_isolation,nyankunde,Nyankunde,operating,,,Nyankunde,Ituri,The facility is isolating and treating patients.,| Indicateurs 1 | Indicateurs 2 | HGR Bunia | RWAMPARA | RWAMPARA | Mongbwalu | Mongbwalu | Nyankunde | Total Général |,high,agy:gemini-3.1-pro-low
