facility_id,flag,group
site-abelkozo,possible_host_variant,possible_host_variant:abelkozo other
site-cs-abelkozo,possible_host_variant,possible_host_variant:abelkozo other
site-aero,possible_host_variant,possible_host_variant:aero other
site-cs-aero,possible_host_variant,possible_host_variant:aero other
site-ch-amani,possible_host_variant,possible_host_variant:amani other
site-cm-amani,possible_host_variant,possible_host_variant:amani other
site-cs-amani,possible_host_variant,possible_host_variant:amani other
site-ch-aru,possible_host_variant,possible_host_variant:aru other
site-hgr-aru,possible_host_variant,possible_host_variant:aru other
cte-aru,possible_host_variant,possible_host_variant:aru treatment_centre
cte-hgr-aru,possible_host_variant,possible_host_variant:aru treatment_centre
site-ch-beni,possible_host_variant,possible_host_variant:beni other
site-hgr-beni,possible_host_variant,possible_host_variant:beni other
ct-beni,possible_host_variant,possible_host_variant:beni transit_centre
ct-hgr-beni,possible_host_variant,possible_host_variant:beni transit_centre
cte-beni,possible_host_variant,possible_host_variant:beni treatment_centre
cte-hgr-beni,possible_host_variant,possible_host_variant:beni treatment_centre
site-bunia-cite,possible_host_variant,possible_host_variant:bunia cite other
site-ch-bunia-cite,possible_host_variant,possible_host_variant:bunia cite other
site-cs-bunia-cite,possible_host_variant,possible_host_variant:bunia cite other
hosp-bunia-hgr,possible_host_variant,possible_host_variant:bunia hospital_isolation
hosp-centre-medical-evangelique-bunia,possible_host_variant,possible_host_variant:bunia hospital_isolation
hosp-cme-bunia,possible_host_variant,possible_host_variant:bunia hospital_isolation
hosp-hgr-bunia,possible_host_variant,possible_host_variant:bunia hospital_isolation
site-cme-bunia,possible_host_variant,possible_host_variant:bunia other
site-hgr-bunia,possible_host_variant,possible_host_variant:bunia other
ct-bunia,possible_host_variant,possible_host_variant:bunia transit_centre
ct-hgr-bunia,possible_host_variant,possible_host_variant:bunia transit_centre
cte-bunia,possible_host_variant,possible_host_variant:bunia treatment_centre
cte-cme-bunia,possible_host_variant,possible_host_variant:bunia treatment_centre
cte-hgr-bunia,possible_host_variant,possible_host_variant:bunia treatment_centre
site-hgr-cinquantenaire,possible_host_variant,possible_host_variant:cinquantenaire other
site-hopital-cinquantenaire,possible_host_variant,possible_host_variant:cinquantenaire other
hosp-ch-elikya,possible_host_variant,possible_host_variant:elikya hospital_isolation
hosp-elikya,possible_host_variant,possible_host_variant:elikya hospital_isolation
site-centre-hospitalier-famille,possible_host_variant,possible_host_variant:famille other
site-cs-famille,possible_host_variant,possible_host_variant:famille other
site-clinique-gloria,possible_host_variant,possible_host_variant:gloria other
site-cm-gloria,possible_host_variant,possible_host_variant:gloria other
site-ch-gracia,possible_host_variant,possible_host_variant:gracia other
site-cm-gracia,possible_host_variant,possible_host_variant:gracia other
site-clinique-universitaire-isiro,possible_host_variant,possible_host_variant:isiro other
site-hgr-isiro,possible_host_variant,possible_host_variant:isiro other
cte-hgr-isiro,possible_host_variant,possible_host_variant:isiro treatment_centre
cte-isiro,possible_host_variant,possible_host_variant:isiro treatment_centre
site-cm-jades,possible_host_variant,possible_host_variant:jades other
site-cs-jades,possible_host_variant,possible_host_variant:jades other
site-centre-medical-joie,possible_host_variant,possible_host_variant:joie other
site-cm-joie,possible_host_variant,possible_host_variant:joie other
site-ess-kalagane,possible_host_variant,possible_host_variant:kalagane other
site-kalagane,possible_host_variant,possible_host_variant:kalagane other
site-clinique-karibuni,possible_host_variant,possible_host_variant:karibuni other
site-cm-karibuni,possible_host_variant,possible_host_variant:karibuni other
hosp-hgr-katana,possible_host_variant,possible_host_variant:katana hospital_isolation
hosp-katana,possible_host_variant,possible_host_variant:katana hospital_isolation
cte-hgr-katwa,possible_host_variant,possible_host_variant:katwa treatment_centre
cte-katwa,possible_host_variant,possible_host_variant:katwa treatment_centre
site-ch-kavumu,possible_host_variant,possible_host_variant:kavumu other
site-cs-kavumu,possible_host_variant,possible_host_variant:kavumu other
site-ch-kyaghala,possible_host_variant,possible_host_variant:kyaghala other
site-cs-kyaghala,possible_host_variant,possible_host_variant:kyaghala other
site-hgr-logo,possible_host_variant,possible_host_variant:logo other
site-hopital-general-logo,possible_host_variant,possible_host_variant:logo other
site-hgr-matanda,possible_host_variant,possible_host_variant:matanda other
site-hopital-matanda,possible_host_variant,possible_host_variant:matanda other
site-matanda,possible_host_variant,possible_host_variant:matanda other
cte-hopital-matanda,possible_host_variant,possible_host_variant:matanda treatment_centre
cte-matanda,possible_host_variant,possible_host_variant:matanda treatment_centre
site-clinique-merites,possible_host_variant,possible_host_variant:merites other
site-cs-merites,possible_host_variant,possible_host_variant:merites other
hosp-hgr-mongbwalu,possible_host_variant,possible_host_variant:mongbwalu hospital_isolation
hosp-hopital-mongbwalu,possible_host_variant,possible_host_variant:mongbwalu hospital_isolation
cte-hgr-mongbwalu,possible_host_variant,possible_host_variant:mongbwalu treatment_centre
cte-mongbwalu,possible_host_variant,possible_host_variant:mongbwalu treatment_centre
site-ch-mudzi-maria,possible_host_variant,possible_host_variant:mudzi maria other
site-cs-mudzi-maria,possible_host_variant,possible_host_variant:mudzi maria other
