facility_id,facility_name,site_kind,place_key,health_zone,province,opened_after,opened_by,opened_midpoint,interval_days,basis,censoring,explanation,date_first_mentioned,first_mention_after_gap,date_last_mentioned,status_latest,beds_latest,n_sitreps,n_events,flags,aliases,first_service,announced,last_not_open
hosp-hgr-vuhovi,HGR de Vuhovi,hospital_isolation,vuhovi,Vuhovi,Nord-Kivu,2026-08-20,,,,"building, never seen open","right censored: not open as of this date, never reported in service","Reported under construction or planned up to 2026-08-20, and never reported holding patients.",2026-08-08,FALSE,2026-08-21,under_construction,,11,11,"",HGR de Vuhovi; HGR Vuhovi,,,2026-08-20
hosp-hopital-mongbwalu,hôpital Mongbwalu,hospital_isolation,mongbwalu,Mongbwalu,Ituri,,,,,no opening evidence,"uninformative: named, but never reported open or building","Named by a report, but nothing says it was built or in use.",2026-05-14,FALSE,2026-05-14,mention_only,,1,1,possible_host_variant;possible_same_host,hôpital Mongbwalu,,,
hosp-hgr-mongbwalu,HGR Mongbwalu,hospital_isolation,mongbwalu,Mongbwalu,Ituri,,2026-05-14,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-14. No report shows it being built, so it may have opened much earlier.",2026-05-14,FALSE,2026-06-30,under_construction,12,15,17,possible_host_variant;possible_same_host;possible_same_site;possible_spelling_variant,HGR Mongbwalu; HGR MONGBWALU,2026-05-14,,
hosp-centre-medical-evangelique-rwampara,Centre médical Evangélique de Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,,2026-05-19,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-19. No report shows it being built, so it may have opened much earlier.",2026-05-19,TRUE,2026-05-26,operating,,9,9,possible_host_variant,Centre médical Evangélique de Rwampara,2026-05-19,,
hosp-cme-nyankunde,CME Nyankunde,hospital_isolation,nyankunde,Rwampara,Ituri,,2026-05-19,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-19. No report shows it being built, so it may have opened much earlier.",2026-05-19,TRUE,2026-06-07,operating,,3,3,possible_host_variant;possible_same_site,CME Nyankunde,2026-05-19,,
hosp-bunia-ch-elikya,BUNIA CH ELIKYA,hospital_isolation,bunia,Bunia,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,6,2,2,"",BUNIA CH ELIKYA,2026-05-20,,
hosp-bunia-clibnique-benedicte,BUNIA Clibnique Bénedicte,hospital_isolation,bunia,Bunia,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,0,2,2,"",BUNIA Clibnique Bénedicte,2026-05-20,,
hosp-bunia-hgr,BUNIA HGR,hospital_isolation,bunia,Bunia,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,6,2,2,possible_host_variant;possible_same_host;possible_word_order,BUNIA HGR,2026-05-20,,
hosp-bunia-rwaole,BUNIA RWAOLE,hospital_isolation,bunia,Bunia,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,12,2,2,"",BUNIA RWAOLE,2026-05-20,,
hosp-bunia-sofepadi,BUNIA SOFEPADI,hospital_isolation,bunia,Bunia,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,4,2,2,"",BUNIA SOFEPADI,2026-05-20,,
hosp-hgr-bunia,HGR Bunia,hospital_isolation,bunia,Bunia,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-19,TRUE,2026-09-05,operating,60,32,35,possible_host_variant;possible_same_host;possible_same_site;possible_word_order,HGR Bunia; HGR BUNIA; HGR de Bunia; l’HGR de Bunia,2026-05-20,2026-06-07,
hosp-hgr-nyankunde,HGR Nyankunde,hospital_isolation,nyankunde,Nyankunde,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-08-30,operating,11,9,9,possible_host_variant;possible_same_site;possible_spelling_variant,HGR Nyankunde; HGR NYANKUNDE,2026-05-20,,
hosp-hopital-matanda,Hôpital Matanda,hospital_isolation,matanda,Katwa,Nord-Kivu,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-23,operating,,5,5,possible_same_site,Hôpital Matanda,2026-05-20,,
hosp-rwampara-ch-salama,RWAMPARA CH SALAMA,hospital_isolation,rwampara,Rwampara,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,10,2,2,"",RWAMPARA CH SALAMA,2026-05-20,,
hosp-rwampara-cme,RWAMPARA CME,hospital_isolation,rwampara,Rwampara,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,100,2,2,possible_host_variant,RWAMPARA CME,2026-05-20,,
hosp-rwampara-cs-hoho,RWAMPARA CS HOHO,hospital_isolation,rwampara,Rwampara,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,0,2,2,"",RWAMPARA CS HOHO,2026-05-20,,
hosp-rwampara-hgr,RWAMPARA HGR,hospital_isolation,rwampara,Rwampara,Ituri,,2026-05-20,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-20. No report shows it being built, so it may have opened much earlier.",2026-05-20,FALSE,2026-05-20,operating,16,2,2,possible_host_variant;possible_same_host;possible_word_order,RWAMPARA HGR,2026-05-20,,
hosp-ch-cme,CH CME,hospital_isolation,"","","",,2026-05-23,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-23. No report shows it being built, so it may have opened much earlier.",2026-05-22,FALSE,2026-05-23,operating,,2,2,"",CH CME,2026-05-23,,
hosp-clinique-citadelle,Clinique CITADELLE,hospital_isolation,bunia,Bunia,Ituri,,2026-05-23,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-23. No report shows it being built, so it may have opened much earlier.",2026-05-23,FALSE,2026-05-23,operating,,1,1,"",Clinique CITADELLE,2026-05-23,,
hosp-cs-hoho,CS Hoho,hospital_isolation,hoho,Rwampara,Ituri,,2026-05-23,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-23. No report shows it being built, so it may have opened much earlier.",2026-05-23,FALSE,2026-06-30,operating,,3,3,"",CS hoho; CS Hoho,2026-05-23,,
hosp-sofepadi,SOFEPADI,hospital_isolation,bunia,Bunia,Ituri,,2026-05-23,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-23. No report shows it being built, so it may have opened much earlier.",2026-05-23,FALSE,2026-05-24,operating,,2,2,"",SOFEPADI,2026-05-23,,
hosp-ch-elikya,CH Elikya,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-06-10,operating,,2,2,possible_host_variant,CH Elikya; CH ELIKYA,2026-05-24,,
hosp-ch-providence,CH LA PROVIDENCE,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-24,operating,,1,1,"",CH LA PROVIDENCE,2026-05-24,,
hosp-ch-salama,CH SALAMA,hospital_isolation,salama,Rwampara,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-22,FALSE,2026-05-27,operating,,3,3,"",CH Salama; CH SALAMA,2026-05-24,,
hosp-citadele,CITADELE,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-24,operating,,1,1,"",CITADELE,2026-05-24,,
hosp-clinique-benedicte,Clinique Bénedicte,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-24,operating,,1,1,"",Clinique Bénedicte,2026-05-24,,
hosp-cm-mathysen,CM MATHYSEN,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-24,operating,,1,1,"",CM MATHYSEN,2026-05-24,,
hosp-cm-merites,CM LES MERITES,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-24,operating,,1,1,"",CM LES MERITES,2026-05-24,,
hosp-hgr-aru,HGR Aru,hospital_isolation,aru,Aru,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-31,operating,,4,4,possible_same_site,HGR Aru; HGR ARU,2026-05-24,,
hosp-hgr-bambu,HGR Bambu,hospital_isolation,bambu,Bambu,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-23,FALSE,2026-06-20,operating,,6,6,"",HGR Bambu; HGR BAMBU,2026-05-24,,
hosp-hgr-rwampara,HGR Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-07-03,under_construction,18,16,20,possible_host_variant;possible_same_host;possible_same_site;possible_word_order,HGR Rwampara; HGR RWAMPARA; HGR zone de santé de Rwampara; l’HGR Rwampara,2026-05-24,2026-06-07,
hosp-rwakole,RWAKOLE,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-24,operating,,1,1,"",RWAKOLE,2026-05-24,,
hosp-unibu,UNIBU,hospital_isolation,bunia,Bunia,Ituri,,2026-05-24,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-24. No report shows it being built, so it may have opened much earlier.",2026-05-24,FALSE,2026-05-24,operating,,1,1,"",UNIBU,2026-05-24,,
hosp-hgr-mungbwalu,HGR MUNGBWALU,hospital_isolation,mungbwalu,Mongbwalu,Ituri,,2026-05-27,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-27. No report shows it being built, so it may have opened much earlier.",2026-05-26,FALSE,2026-05-28,operating,40,3,3,possible_spelling_variant,HGR Mungbwalu; HGR MUNGBWALU,2026-05-27,,
hosp-hgr-nyakunde,HGR NYAKUNDE,hospital_isolation,nyakunde,Nyakunde,Ituri,,2026-05-27,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-27. No report shows it being built, so it may have opened much earlier.",2026-05-26,FALSE,2026-07-02,operating,,4,4,possible_spelling_variant,HGR Nyakunde; HGR NYAKUNDE,2026-05-27,,
hosp-centre-medical-evangelique-bunia,Centre Médical Évangélique de Bunia,hospital_isolation,bunia,Bunia,Ituri,,2026-05-31,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-31. No report shows it being built, so it may have opened much earlier.",2026-05-31,FALSE,2026-05-31,operating,,1,1,possible_host_variant,Centre Médical Évangélique de Bunia,2026-05-31,,
hosp-cme-zs-rwampara,CME/Zs Rwampara,hospital_isolation,rwampara,Rwampara,Ituri,,2026-05-31,,,"in service, no earlier bound","left censored: open by this date, could have opened any time before","First reported holding patients on 2026-05-31. No report shows it being built, so it may have opened much earlier.",2026-05-31,FALSE,2026-05-31,operating,,1,1,"",CME/Zs Rwampara,2026-05-31,,
