sitrep,sitrep_num,report_date,table_n,caption,label_raw,kind,label_key,role
001,1,2026-05-14,1,"",Alert,column,alert,indicator
001,1,2026-05-14,1,"",Cas Confirmés,column,cas confirmés,indicator
001,1,2026-05-14,1,"",Cas Suspects,column,cas suspects,indicator
001,1,2026-05-14,1,"",Décès confirmés,column,décès confirmés,indicator
001,1,2026-05-14,1,"",Taux d’occupation des lits chez les confirmés,column,taux d’occupation des lits chez les confirmés,indicator
001,1,2026-05-14,1,"",Taux d’occupation des lits chez les suspects,column,taux d’occupation des lits chez les suspects,indicator
001,1,2026-05-14,1,"",Guéris,column,guéris,indicator
001,1,2026-05-14,2,"",Indicateur,column,indicateur,dimension
001,1,2026-05-14,2,"",Valeur,column,valeur,indicator
001,1,2026-05-14,2,"",Cas confirmés Ebola,row_label,cas confirmés ebola,indicator
001,1,2026-05-14,2,"",Échantillons à reprendre,row_label,échantillons à reprendre,indicator
001,1,2026-05-14,2,"",Cas suspects/probables estimés,row_label,cas suspects/probables estimés,indicator
001,1,2026-05-14,2,"",Décès hospitaliers HGR Mongbwalu,row_label,décès hospitaliers hgr mongbwalu,indicator
001,1,2026-05-14,2,"",Décès communautaires Mongbwalu,row_label,décès communautaires mongbwalu,indicator
001,1,2026-05-14,2,"",Personnel de santé décédé,row_label,personnel de santé décédé,indicator
001,1,2026-05-14,2,"",Contacts identifiés,row_label,contacts identifiés,indicator
001,1,2026-05-14,2,"",ZS affectées,row_label,zs affectées,indicator
002,2,2026-05-17,1,"",Alertes,column,alertes,indicator
002,2,2026-05-17,1,"",Alertes investiguées,column,alertes investiguées,indicator
002,2,2026-05-17,1,"",Cas Confirmés,column,cas confirmés,indicator
002,2,2026-05-17,1,"",Cas Suspects,column,cas suspects,indicator
002,2,2026-05-17,1,"",Décès confirmés,column,décès confirmés,indicator
002,2,2026-05-17,1,"",Taux d’occupation des lits chez les confirmés,column,taux d’occupation des lits chez les confirmés,indicator
002,2,2026-05-17,1,"",Taux d’occupation des lits chez les suspects,column,taux d’occupation des lits chez les suspects,indicator
002,2,2026-05-17,1,"",Guéris,column,guéris,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Indicateurs,column,indicateurs,dimension
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",ZS Mongbwalu,column,zs mongbwalu,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",ZS Rwampara,column,zs rwampara,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",ZS Bunia,column,zs bunia,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Total,column,total,dimension
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Alertes reçues,row_label,alertes reçues,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Cas investigués,row_label,cas investigués,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Cas suspects prélevés,row_label,cas suspects prélevés,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Cas Confirmés,row_label,cas confirmés,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Cas Probables,row_label,cas probables,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Cas Suspects en isolement,row_label,cas suspects en isolement,indicator
002,2,2026-05-17,2,"Tableau 1. Répartition des alertes reçues, validées et investiguées par Zone de santé",Cas suspects en cours de prélèvement,row_label,cas suspects en cours de prélèvement,indicator
004,4,2026-05-19,1,"",Provinces touchées,column,provinces touchées,dimension
004,4,2026-05-19,1,"",Cas confirmés,column,cas confirmés,indicator
004,4,2026-05-19,1,"",Décès confirmés,column,décès confirmés,indicator
004,4,2026-05-19,1,"",Cas probable,column,cas probable,indicator
004,4,2026-05-19,1,"",Cas suspects,column,cas suspects,indicator
004,4,2026-05-19,1,"",Guéris du jour,column,guéris du jour,indicator
004,4,2026-05-19,2,Tableau I : Répartition des cas et décès confirmés et probables de maladie à virus Ebola dans les zones de santé de la DPS Ituri et Nord-Kivu au 18 mai 2026*,Provinces,column,provinces,dimension
004,4,2026-05-19,2,Tableau I : Répartition des cas et décès confirmés et probables de maladie à virus Ebola dans les zones de santé de la DPS Ituri et Nord-Kivu au 18 mai 2026*,Zones de santé,column,zones de santé,dimension
004,4,2026-05-19,2,Tableau I : Répartition des cas et décès confirmés et probables de maladie à virus Ebola dans les zones de santé de la DPS Ituri et Nord-Kivu au 18 mai 2026*,Nbre de cas suspects,column,nbre de cas suspects,indicator
004,4,2026-05-19,2,Tableau I : Répartition des cas et décès confirmés et probables de maladie à virus Ebola dans les zones de santé de la DPS Ituri et Nord-Kivu au 18 mai 2026*,Nbre de décès suspects,column,nbre de décès suspects,indicator
004,4,2026-05-19,2,Tableau I : Répartition des cas et décès confirmés et probables de maladie à virus Ebola dans les zones de santé de la DPS Ituri et Nord-Kivu au 18 mai 2026*,Nbre de cas Confirmés,column,nbre de cas confirmés,indicator
004,4,2026-05-19,2,Tableau I : Répartition des cas et décès confirmés et probables de maladie à virus Ebola dans les zones de santé de la DPS Ituri et Nord-Kivu au 18 mai 2026*,Nbre de contacts,column,nbre de contacts,indicator
004,4,2026-05-19,3,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Indicateurs sur les alertes,column,indicateurs sur les alertes,indicator
004,4,2026-05-19,3,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Bunia,column,bunia,indicator
004,4,2026-05-19,3,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Rwampara,column,rwampara,indicator
004,4,2026-05-19,3,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Nyankunde,column,nyankunde,indicator
004,4,2026-05-19,3,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Mongbwalu,column,mongbwalu,indicator
004,4,2026-05-19,3,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Nizi,column,nizi,indicator
004,4,2026-05-19,3,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Lita,column,lita,indicator
