label_key,role,topic,topic_suggested,kind,n_appearances,n_reports,first_sitrep,last_sitrep,has_series,still_reported,cluster,n_in_cluster,first_date,last_date,example_caption,example_raw
ituri,dimension,"","",column,242,90,18,122,TRUE,TRUE,ituri,1,2026-06-01,2026-09-13,"Tableau 4. Mouvement des patients dans les établissements de soins, 17e épidémie de maladie à virus Ebola (Bundibugyo), République Démocratique du Congo, au 1er juin 2026",Ituri
nord-kivu,dimension,"","",column,240,90,18,122,TRUE,TRUE,nord kivu,3,2026-06-01,2026-09-13,"Tableau 4. Mouvement des patients dans les établissements de soins, 17e épidémie de maladie à virus Ebola (Bundibugyo), République Démocratique du Congo, au 1er juin 2026",Nord-Kivu
province,dimension,"","",column,172,100,17,122,TRUE,TRUE,province,2,2026-05-31,2026-09-13,Tableau 1 : Analyse des décès communautaires et de la létalité hospitalière lors de l'épidémie de maladie à virus Ebola Bundibugyo en RDC au 03 juillet 2026,Province
sud-kivu,dimension,"","",column,167,86,18,122,TRUE,TRUE,sud kivu,2,2026-06-01,2026-09-13,"Tableau 4. Mouvement des patients dans les établissements de soins, 17e épidémie de maladie à virus Ebola (Bundibugyo), République Démocratique du Congo, au 1er juin 2026",Sud-Kivu
indicateur,dimension,"","",column,119,62,1,83,TRUE,FALSE,indicateur,1,2026-05-14,2026-08-05,"Tableau 4. Mouvement des patients dans les établissements de soins, 17e épidémie de maladie à virus Ebola (Bundibugyo), République Démocratique du Congo, au 1er juin 2026",Indicateur
zones de santé touchées,dimension,"","",column,98,98,17,122,TRUE,TRUE,zones de sante touchees,1,2026-05-31,2026-09-13,Tableau 1 : Répartition des cas et décès confirmés par province touchée en date du 01 juillet 2026.,Zones de santé touchées
province / zone de santé,dimension,"","",column,92,92,18,122,TRUE,TRUE,province   zone de sante,1,2026-06-01,2026-09-13,"Tableau 1. Répartition des cas confirmés et des décès de la MVE Bundibugyo par zone de santé et par province, République Démocratique du Congo, au 1er juin 2026 (en cours de consolidation)",Province / Zone de santé
indicateurs,dimension,"","",column,91,90,2,122,TRUE,TRUE,indicateurs,3,2026-05-17,2026-09-13,"Tableau 4. Suivi des indicateurs au Points d’entrées et Points de contrôle (PoE/PoC) dans la province de l’Ituri, en date du 11 juin 2026",Indicateurs
total,dimension,"","",column,81,72,2,83,TRUE,FALSE,total,1,2026-05-17,2026-08-05,Tableau II : Situation des alertes du jour dans les zones de santé de la DPS Ituri au 18 mai 2026,Total
tshopo,dimension,"","",column,73,45,61,122,TRUE,TRUE,tshopo,1,2026-07-14,2026-09-13,"Tableau 4. Situation indicateurs clés des PoC/PoE par province, en date du 01 Septembre 2026",Tshopo
