indicator_id,level,place_id,place_name,report_date,sitrep,version,value,unit,basis,derivation,evidence_quote,page,text_source,confidence,flags,places_included,note
beds_total,national,ensemble,Ensemble,2026-07-15,62,1,846,beds,table,"",Nombre de lits 693 141 12 846,9,pdf_text,high,"",ituri;nord-kivu;tshopo,""
beds_total,province,ituri,Ituri,2026-07-15,62,1,693,beds,table,"",Nombre de lits 693 141 12 846,9,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-15,62,1,141,beds,table,"",Nombre de lits 693 141 12 846,9,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-15,62,1,12,beds,table,"",Nombre de lits 693 141 12 846,9,pdf_text,high,"","",""
beds_total,national,ensemble,Ensemble,2026-07-17,64,1,841,beds,table,"",Nombre de lits 700 141 ND ND 841,8,pdf_text,high,"",ituri;nord-kivu,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-17,64,1,,beds,table,"",Nombre de lits 700 141 ND ND 841,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-17,64,1,700,beds,table,"",Nombre de lits 700 141 ND ND 841,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-17,64,1,141,beds,table,"",Nombre de lits 700 141 ND ND 841,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-17,64,1,,beds,table,"",Nombre de lits 700 141 ND ND 841,8,pdf_text,high,not_reported,"",""
beds_total,national,ensemble,Ensemble,2026-07-18,65,1,857,beds,table,"",Nombre de lits 706 141 ND 10 857,8,pdf_text,high,"",ituri;nord-kivu;tshopo,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-18,65,1,,beds,table,"",Nombre de lits 706 141 ND 10 857,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-18,65,1,706,beds,table,"",Nombre de lits 706 141 ND 10 857,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-18,65,1,141,beds,table,"",Nombre de lits 706 141 ND 10 857,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-18,65,1,10,beds,table,"",Nombre de lits 706 141 ND 10 857,8,pdf_text,high,"","",""
beds_total,national,ensemble,Ensemble,2026-07-19,66,1,939,beds,table,"",Nombre de lits 798 141 ND ND 939,8,pdf_text,high,"",ituri;nord-kivu,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-19,66,1,,beds,table,"",Nombre de lits 798 141 ND ND 939,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-19,66,1,798,beds,table,"",Nombre de lits 798 141 ND ND 939,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-19,66,1,141,beds,table,"",Nombre de lits 798 141 ND ND 939,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-19,66,1,,beds,table,"",Nombre de lits 798 141 ND ND 939,8,pdf_text,high,not_reported,"",""
beds_total,national,ensemble,Ensemble,2026-07-20,67,1,850,beds,table,"",Nombre de lits 709 141 ND ND 850,8,pdf_text,high,"",ituri;nord-kivu,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-20,67,1,,beds,table,"",Nombre de lits 709 141 ND ND 850,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-20,67,1,709,beds,table,"",Nombre de lits 709 141 ND ND 850,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-20,67,1,141,beds,table,"",Nombre de lits 709 141 ND ND 850,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-20,67,1,,beds,table,"",Nombre de lits 709 141 ND ND 850,8,pdf_text,high,not_reported,"",""
beds_total,national,ensemble,Ensemble,2026-07-22,69,1,858,beds,table,"",Nombre de lits 709 141 ND 8 858,8,pdf_text,high,"",ituri;nord-kivu;tshopo,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-22,69,1,,beds,table,"",Nombre de lits 709 141 ND 8 858,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-22,69,1,709,beds,table,"",Nombre de lits 709 141 ND 8 858,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-22,69,1,141,beds,table,"",Nombre de lits 709 141 ND 8 858,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-22,69,1,8,beds,table,"",Nombre de lits 709 141 ND 8 858,8,pdf_text,high,"","",""
beds_total,national,ensemble,Ensemble,2026-07-23,70,1,860,beds,table,"",Nombre de lits 709 141 ND 10 860,8,pdf_text,high,"",ituri;nord-kivu;tshopo,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-23,70,1,,beds,table,"",Nombre de lits 709 141 ND 10 860,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-23,70,1,709,beds,table,"",Nombre de lits 709 141 ND 10 860,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-23,70,1,141,beds,table,"",Nombre de lits 709 141 ND 10 860,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-23,70,1,10,beds,table,"",Nombre de lits 709 141 ND 10 860,8,pdf_text,high,"","",""
beds_total,national,ensemble,Ensemble,2026-07-25,72,1,941,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,"",ituri;nord-kivu,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-25,72,1,,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-25,72,1,800,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-25,72,1,141,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-25,72,1,,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,not_reported,"",""
beds_total,national,ensemble,Ensemble,2026-07-26,73,1,941,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,"",ituri;nord-kivu,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-26,73,1,,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-26,73,1,800,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-26,73,1,141,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-26,73,1,,beds,table,"",Nombre de lits 800 141 ND ND 941,8,pdf_text,high,not_reported,"",""
beds_total,national,ensemble,Ensemble,2026-07-27,74,1,949,beds,table,"",Nombre de lits 808 141 ND ND 949,8,pdf_text,high,"",ituri;nord-kivu,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-27,74,1,,beds,table,"",Nombre de lits 808 141 ND ND 949,8,pdf_text,high,not_reported,"",""
beds_total,province,ituri,Ituri,2026-07-27,74,1,808,beds,table,"",Nombre de lits 808 141 ND ND 949,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-27,74,1,141,beds,table,"",Nombre de lits 808 141 ND ND 949,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-27,74,1,,beds,table,"",Nombre de lits 808 141 ND ND 949,8,pdf_text,high,not_reported,"",""
beds_total,national,ensemble,Ensemble,2026-07-30,77,1,1049,beds,table,"",Nombre de lits 820 141 68 20 1 049,8,pdf_text,high,"",ituri;nord-kivu;haut-uele;tshopo,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-30,77,1,68,beds,table,"",Nombre de lits 820 141 68 20 1 049,8,pdf_text,high,"","",""
beds_total,province,ituri,Ituri,2026-07-30,77,1,820,beds,table,"",Nombre de lits 820 141 68 20 1 049,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-30,77,1,141,beds,table,"",Nombre de lits 820 141 68 20 1 049,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-30,77,1,20,beds,table,"",Nombre de lits 820 141 68 20 1 049,8,pdf_text,high,"","",""
beds_total,national,ensemble,Ensemble,2026-07-31,78,1,1050,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"",ituri;nord-kivu;haut-uele;tshopo,""
beds_total,province,haut-uele,Haut-Uélé,2026-07-31,78,1,68,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"","",""
beds_total,province,ituri,Ituri,2026-07-31,78,1,821,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"","",""
beds_total,province,nord-kivu,Nord-Kivu,2026-07-31,78,1,141,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"","",""
beds_total,province,tshopo,Tshopo,2026-07-31,78,1,20,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"","",""
beds_total,national,ensemble,Ensemble,2026-08-01,79,1,1050,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"",ituri;nord-kivu;haut-uele;tshopo,""
beds_total,province,haut-uele,Haut-Uélé,2026-08-01,79,1,68,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"","",""
beds_total,province,ituri,Ituri,2026-08-01,79,1,821,beds,table,"",Nombre de lits 821 141 68 20 1 050,8,pdf_text,high,"","",""
