indicator_id,level,place_id,place_name,report_date,sitrep,version,value,unit,basis,derivation,evidence_quote,page,text_source,confidence,flags,places_included,note
exits_24h,national,ensemble,Ensemble,2026-06-01,18,1,15,patients,table,"",Total sorties 10 3 2 15,8,pdf_text,high,"",ituri;nord-kivu;sud-kivu,""
exits_24h,province,ituri,Ituri,2026-06-01,18,1,10,patients,table,"",Total sorties 10 3 2 15,8,pdf_text,high,"","",""
exits_24h,province,nord-kivu,Nord-Kivu,2026-06-01,18,1,3,patients,table,"",Total sorties 10 3 2 15,8,pdf_text,high,"","",""
exits_24h,province,sud-kivu,Sud-Kivu,2026-06-01,18,1,2,patients,table,"",Total sorties 10 3 2 15,8,pdf_text,high,"","",""
patients_isolated,national,ensemble,Ensemble,2026-06-01,18,1,173,patients,table,"",Patients en isolement (fin de journée) 158 8 7 173,8,pdf_text,high,"",ituri;nord-kivu;sud-kivu,""
patients_isolated,province,ituri,Ituri,2026-06-01,18,1,158,patients,table,"",Patients en isolement (fin de journée) 158 8 7 173,8,pdf_text,high,"","",""
patients_isolated,province,nord-kivu,Nord-Kivu,2026-06-01,18,1,8,patients,table,"",Patients en isolement (fin de journée) 158 8 7 173,8,pdf_text,high,"","",""
patients_isolated,province,sud-kivu,Sud-Kivu,2026-06-01,18,1,7,patients,table,"",Patients en isolement (fin de journée) 158 8 7 173,8,pdf_text,high,"","",""
admissions_24h,national,ensemble,Ensemble,2026-06-02,19,1,30,patients,table,"",Total admissions (24h) 28 1 1 30,5,pdf_text,high,"",ituri;nord-kivu;sud-kivu,""
admissions_24h,province,ituri,Ituri,2026-06-02,19,1,28,patients,table,"",Total admissions (24h) 28 1 1 30,5,pdf_text,high,"","",""
admissions_24h,province,nord-kivu,Nord-Kivu,2026-06-02,19,1,1,patients,table,"",Total admissions (24h) 28 1 1 30,5,pdf_text,high,"","",""
admissions_24h,province,sud-kivu,Sud-Kivu,2026-06-02,19,1,1,patients,table,"",Total admissions (24h) 28 1 1 30,5,pdf_text,high,"","",""
exits_24h,national,ensemble,Ensemble,2026-06-02,19,1,28,patients,table,"",Total sorties 27 1 0 28,5,pdf_text,high,"",ituri;nord-kivu;sud-kivu,""
exits_24h,province,ituri,Ituri,2026-06-02,19,1,27,patients,table,"",Total sorties 27 1 0 28,5,pdf_text,high,"","",""
exits_24h,province,nord-kivu,Nord-Kivu,2026-06-02,19,1,1,patients,table,"",Total sorties 27 1 0 28,5,pdf_text,high,"","",""
exits_24h,province,sud-kivu,Sud-Kivu,2026-06-02,19,1,0,patients,table,"",Total sorties 27 1 0 28,5,pdf_text,high,"","",""
patients_confirmed,national,ensemble,Ensemble,2026-06-02,19,1,47,patients,table,"",dont confirmés (NC+AC) 40 5 2 47,5,pdf_text,high,"",ituri;nord-kivu;sud-kivu,""
patients_confirmed,province,ituri,Ituri,2026-06-02,19,1,40,patients,table,"",dont confirmés (NC+AC) 40 5 2 47,5,pdf_text,high,"","",""
