indicator_id,level,place_id,place_name,report_date,sitrep,version,value,unit,basis,derivation,evidence_quote,page,text_source,confidence,flags,places_included,note
facility_incident,facility,ct-rwampara,CT Rwampara,2026-05-24,10,1,1,flag,read,"","Incendie de CT de Rwampara, Mongbwalu",,ocr_mupdf,high,"","",Fire at the Rwampara transit centre listed among security problems
facility_incident,facility,ct-rwampara,CT Rwampara,2026-05-27,13,1,1,flag,read,"","Incendie de CT de Rwampara, Mongbwalu",,pdf_text,high,"","",Fire at the Rwampara transit centre listed among security problems
facility_expanded,facility,cte-cme-bunia,CTE CME Bunia,2026-06-10,27,1,1,flag,read,"",Finalisation de la crèche CTE CME Rwampara,,pdf_text,high,"","",Creche at the facility being finalised
facility_expanded,facility,cte-cme-bunia,CTE CME Bunia,2026-06-13,30,1,1,flag,read,"","Finalisation des travaux du CTE/CME-BUNIA, 8 tentes installées seront opérationnelles",,pdf_text,high,"","",Works being finalised; 8 installed tents to be operational by Monday 15 June 2026
facility_expanded,facility,cte-bunia,CTE Bunia (HGR),2026-06-15,32,1,1,flag,read,"",construction d’un nouveau bâtiment CTE/HGR Bunia,,pdf_text,high,"","",Construction of a new building continues
facility_expanded,facility,cte-rwampara,CTE Rwampara (HGR),2026-06-23,40,1,1,flag,read,"",Suivi des travaux d’extension du CTE Rwampara,,pdf_text,high,"","",Extension works on the facility being followed up
facility_expanded,facility,cte-bunia,CTE Bunia (HGR),2026-06-24,41,1,1,flag,read,"",poursuite des travaux du nouveau CTE à l’HGR/Bunia,,pdf_text,high,"","",Works on the new CTE at HGR Bunia continue
facility_expanded,facility,cte-rwampara,CTE Rwampara (HGR),2026-06-24,41,1,1,flag,read,"","Suivi des travaux d’extension des CTE, notamment Rwampara et HGR/Bunia",,pdf_text,high,"","",Extension works being followed up
facility_expanded,facility,cte-elikya,CTE Elikya,2026-07-02,49,1,1,flag,read,"","Poursuite des travaux d’aménagement du CTE Elikya, avec 14 tentes disponibles",,pdf_text,high,"","",Fitting-out works continue with 14 tents available and a laboratory under construction
beds_total,facility,cte-beni,CTE Beni,2026-07-04,51,1,20,beds,read,"",Ouverture officielle du CTE Beni avec une capacité de 20 lits,,pdf_text,high,"","",Official opening of the facility with 20 beds
facility_expanded,facility,cte-elikya,CTE Elikya,2026-07-04,51,1,1,flag,read,"",aménagement du CTE Elikya,,pdf_text,high,"","",Fitting-out works at the facility continue
facility_expanded,facility,cte-mongbwalu,CTE Mongbwalu,2026-07-04,51,1,1,flag,read,"",extension du CTE de Mongbwalu d’au moins 50 lits,,pdf_text,high,"","",Extension of the facility by at least 50 beds under way
facility_expanded,facility,cte-elikya,CTE Elikya,2026-07-05,52,1,1,flag,read,"",aménagement du CTE Elikya/Bunia,,pdf_text,high,"","",Fitting-out works at the facility
facility_expanded,facility,cte-rwampara,CTE Rwampara (HGR),2026-07-05,52,1,1,flag,read,"",nouveau bâtiment du CTE Rwampara opérationnel,,pdf_text,high,"","",New building of the facility is operational
facility_incident,facility,cte-kitatumba,CTE Kitatumba,2026-07-06,53,1,1,flag,read,"",Incendie criminelle au CTE Kitatumba (dégâts réduits grâce à l’intervention de la police),,pdf_text,high,"","",Arson at the facility with damage limited by police intervention
facility_expanded,facility,cte-bunia,CTE Bunia (HGR),2026-07-10,57,1,1,flag,read,"",Inauguration de l’extension CTE à l’HGR Bunia,,pdf_text,high,"","",Extension of the CTE at HGR Bunia inaugurated by the Minister of Public Health
facility_saturated,facility,ct-bambu,CT Bambu,2026-07-15,62,1,1,flag,read,"",saturation persistante au CT de Bambu (316 %),,pdf_text,high,"","",Persistent saturation at 316 percent occupancy
facility_saturated,facility,cte-cme-bunia,CTE CME Bunia,2026-07-15,62,1,1,flag,read,"",au CTE CME de Rwampara (157 %),,pdf_text,high,"","",Persistent saturation at 157 percent occupancy
beds_total,facility,cte-rwampara,CTE Rwampara (HGR),2026-07-25,72,1,100,beds,read,"",CTE de Rwampara (100 lits opérationnels),,pdf_text,high,"","",100 operational beds at the facility
facility_expanded,facility,ct-nia-nia,CT Nia-Nia (HGR),2026-07-30,77,1,1,flag,read,"",tentes d'élargissement au CTE de Nia-Nia,,pdf_text,high,"","",Expansion tents being put up
facility_saturated,facility,ct-kigonze,CT Kigonze (IDP site),2026-07-30,77,1,1,flag,read,"",Kigonze (113 %),,pdf_text,high,"","",Transit centre saturated for suspected cases at 113 percent
facility_saturated,facility,ct-kilo,CT Kilo (HGR),2026-07-30,77,1,1,flag,read,"",HGR Kilo (100 %),,pdf_text,high,"","",Transit centre saturated for suspected cases at 100 percent
facility_saturated,facility,ct-logo,CT Logo,2026-07-30,77,1,1,flag,read,"",Logo (125 %),,pdf_text,high,"","",Transit centre saturated for suspected cases at 125 percent
facility_saturated,facility,ct-nizi,CT Nizi,2026-07-30,77,1,1,flag,read,"",CTE Nizi (322 %),,pdf_text,high,"","",Beyond capacity for confirmed cases at 322 percent
facility_saturated,facility,cte-bunia,CTE Bunia (HGR),2026-07-30,77,1,1,flag,read,"",CTE Bunia (105 %),,pdf_text,high,"","",Beyond capacity for confirmed cases at 105 percent
facility_saturated,facility,cte-cme-bunia,CTE CME Bunia,2026-07-30,77,1,1,flag,read,"",CTE CME (100 %),,pdf_text,high,"","",At capacity for confirmed cases
facility_saturated,facility,cte-fataki,CTE Fataki,2026-07-30,77,1,1,flag,read,"",CTE Fataki (100 %),,pdf_text,high,"","",At capacity for confirmed cases
facility_saturated,facility,cte-istm,CTE ISTM,2026-07-30,77,1,1,flag,read,"",CTE ISTM (107 %),,pdf_text,high,"","",Beyond capacity for confirmed cases at 107 percent
facility_saturated,facility,cte-lita,CTE Lita,2026-07-30,77,1,1,flag,read,"",CTE Lita (140 %),,pdf_text,high,"","",Beyond capacity for confirmed cases at 140 percent
facility_saturated,facility,cte-wamba,CTE Wamba,2026-07-30,77,1,1,flag,read,"",le CTE de Wamba dépassant sa capacité en confirmés (125 %),,pdf_text,high,"","",Over capacity for confirmed cases at 125 percent
facility_saturated,facility,ct-kigonze,CT Kigonze (IDP site),2026-07-31,78,1,1,flag,read,"",Kigonze (113 %),,pdf_text,high,"","",Transit centre saturated for suspected cases at 113 percent
facility_saturated,facility,ct-kilo,CT Kilo (HGR),2026-07-31,78,1,1,flag,read,"",HGR Kilo (100 %),,pdf_text,high,"","",Transit centre saturated for suspected cases at 100 percent
