organisation,type,role_in_reports,facility_sentences,reports,first_sitrep,last_sitrep,example_sitrep,example_quote,corpus_md,source_pdf
CME,Congolese hospital,hosted CTEs at Nyankunde and Bunia,100,48,006,113,006,"• Acheminement de 5 matelas, 5 lits et autres matériels au CME • Montage de deux tentes d’isolement en cours à l’HGR Bunia ;",data/corpus/fr/006.md,data/pdf/006.pdf
ISTM,Congolese medical institute,hosted a CTE at Nyankunde,52,37,028,099,028,"• Suivi des travaux de construction des crèches et CTE (CME, ISTM Nyankunde, HGR Rwampara et Elykia).",data/corpus/fr/028.md,data/pdf/028.pdf
INSP,DRC government,runs the response and publishes these reports,19,19,010,120,010,# PHOTOS DE TERRAIN [PHOTO] Poursuite des travaux d’aménagement du CTE Rwampara Finalisation d’installation de deux tentes de prise en charge à l’HGR Bunia (avec 8 chambres et 8 toilettes) Séance de travail d’harmonisation des données et production de rapport de situation POUR TOUTE INFORMATION SUPP,data/corpus/fr/010.md,data/pdf/010.pdf
MSF,international NGO,built and ran facilities; appears as MSF France and MSF Hollande,18,14,008,099,008,"## LOGISTIQUE ❖ Livraison des intrants et équiments de protection aux piliers laboratoire et PCI pour 4 ESS de catégorie 1 (HGR Bunia, HGR Rwampara, CH SALAMA et CH CME ❖ Livraison des intrants et équipements de protections à la ZS de LITA pour EDS ❖ Déballage des intrants et équipements reçus à la ",data/corpus/fr/008.md,data/pdf/008.pdf
OMS,UN agency,co-ordination and joint missions,18,16,008,114,008,"## LOGISTIQUE ❖ Livraison des intrants et équiments de protection aux piliers laboratoire et PCI pour 4 ESS de catégorie 1 (HGR Bunia, HGR Rwampara, CH SALAMA et CH CME ❖ Livraison des intrants et équipements de protections à la ZS de LITA pour EDS ❖ Déballage des intrants et équipements reçus à la ",data/corpus/fr/008.md,data/pdf/008.pdf
COUSP,DRC government,emergency operations centre,14,13,008,083,008,"Provinces touchées (3) ITURI, NORD-KIVU, SUD-KIVU Zones de Santé touchées (11) ITURI : Aru, Bunia, Kilo, Mongbwalu, Nizi, Nyankunde et Rwampara NORD-KIVU : Butembo, Goma et Katwa SUD-KIVU : Miti-Murhesa Date de rapportage 22 mai 2026 Date de publication 23 mai 2026 91 Cumul cas confirmés 10 Cumul dé",data/corpus/fr/008.md,data/pdf/008.pdf
ULB Cooperation,university cooperation,isolation unit and triage at HGR Vuhovi,12,12,085,099,085,"travaux en cours aux PoC de Karuruma et Komba, au CT de l'HGR Musienene (MSF France) et à l'isolement de l'HGR Vuhovi (ULB).",data/corpus/fr/085.md,data/pdf/085.pdf
IMC,international NGO,built and ran the CTE at HGR Bunia; built CTE Matanda,11,11,010,083,010,• Démarrage des travaux de construction du CTE à l’HGR Bunia par le partenaire IMC.,data/corpus/fr/010.md,data/pdf/010.pdf
OIM,UN agency,activated points of entry and control,9,8,006,112,006,Surveillance aux Points d’entrées et Points de contrôle (PoE/PoC) Activation et opérationnalisation du PoC Dele (ZS Rwampara) et Mudzibala (ZS Bunia) avec appui de l’OIM.,data/corpus/fr/006.md,data/pdf/006.pdf
IMA World Health,international NGO,IPC support; siting the large-capacity CTE in Tshopo,5,5,047,092,047,Nord Kivu Formation de 51 prestataires du CTE Beni sur la prise en charge des patients avec appui IMC et briefing des superviseurs sur la PCI avec appui IMA.,data/corpus/fr/047.md,data/pdf/047.pdf
UNICEF,UN agency,funded water and triage works,5,4,041,111,041,mission conjointe UNICEF et pilier PCI WASH au CSR CARL BEKER pour suivi de fonctionnement du forage photo voltaïque et unité de triage ;,data/corpus/fr/041.md,data/pdf/041.pdf
FOMULAC,Congolese hospital,reference hospital of Katana; hosted isolation,5,5,020,105,020,17 contacts à haut risque isolés à l'HGR FOMULAC KATANA.,data/corpus/fr/020.md,data/pdf/020.pdf
ALIMA,international NGO,ran the CTE at HGR Rwampara,4,3,008,033,008,"## LOGISTIQUE ❖ Livraison des intrants et équiments de protection aux piliers laboratoire et PCI pour 4 ESS de catégorie 1 (HGR Bunia, HGR Rwampara, CH SALAMA et CH CME ❖ Livraison des intrants et équipements de protections à la ZS de LITA pour EDS ❖ Déballage des intrants et équipements reçus à la ",data/corpus/fr/008.md,data/pdf/008.pdf
PAM,UN agency,"joint visits, food to facilities",4,4,077,111,077,"Formation des prestataires des isolements de l'HGR de Beni et des CS Bundji et Boikene avec l'appui d'IMC, mission d'évaluation à Musienene et supervision conjointe APATEMACO/PAM à Butembo et Katwa.",data/corpus/fr/077.md,data/pdf/077.pdf
