province,health_zone,health_area,locality,facility_type,facility_name,grid3id
Bas-Uele,Aketi,Aboso,,Centre de Santé,Aboso,Acasus_65031C7C97
Bas-Uele,Aketi,Ahaupa,,Centre de Santé,Ahaupa,Acasus_6E566671C5
Bas-Uele,Aketi,Andea,,Centre de Santé de Référence,Andea,Acasus_34EF54DA91
Bas-Uele,Aketi,Azande,,Centre de Santé,Azande,Acasus_C55829E491
Bas-Uele,Aketi,Bobema,,Centre de Santé,Bobema,Acasus_F6CB004405
Bas-Uele,Aketi,Boganga,,Centre de Santé,Boganga,Acasus_A10E3685AC
Bas-Uele,Aketi,Bombongolo,,Centre de Santé,Bombongolo,Acasus_348EE98776
Bas-Uele,Aketi,Bondunga,,Centre de Santé,Bondunga,Acasus_569C4A8BDA
Bas-Uele,Aketi,Bonzengo,,Centre de Santé,Bonzengo,Acasus_05D2BA5B27
Bas-Uele,Aketi,Bunduki,,Centre de Santé de Référence,Bunduki,Acasus_7CE29E15AF
Bas-Uele,Aketi,Dulia,,Centre de Santé de Référence,Dulia,Acasus_06020D9534
Bas-Uele,Aketi,Itimbiri,,Centre de Santé,Itimbiri,Acasus_F5C50C25C7
Bas-Uele,Aketi,Makoko,,Centre de Santé,Makoko,Acasus_AA1C6CE656
Bas-Uele,Aketi,Manginanginda,,Centre de Santé,Mangindanginda,Acasus_8F0B3A9701
Bas-Uele,Aketi,Mombwasa,,Centre de Santé,Mombwasa,Acasus_148EC35C4F
Bas-Uele,Aketi,Ngbongade,,Centre de Santé,Ngbongade,Acasus_480B96F10A
Bas-Uele,Aketi,Ngombo,,Centre de Santé,Ngombo,Acasus_27AA7C194B
Bas-Uele,Aketi,Pesana,,Centre de Santé,Pesana,Acasus_1F067910CB
Bas-Uele,Aketi,Wela,,Centre de Santé,Wela,Acasus_78F0C3B86E
Bas-Uele,Ango,Api,,Centre de Santé de Référence,Api,Acasus_DBEFCE55F5
Bas-Uele,Ango,Assa,,Centre de Santé de Référence,Assa,Acasus_CFE18FB1CB
