province,osm_type,osm_id,name,amenity,healthcare,operator,lat,lon
Bas-Uele,way,443247028,Centre de Santé Mibana,doctors,"","",2.8718601,27.5619874
Haut-Uele,way,419933762,Centre de santé,clinic,"","",2.5186489,27.7015748
Haut-Uele,way,610334753,Hôpital Nebobongo,hospital,hospital,CECCA16,2.451993,27.6325486
Haut-Uele,way,620198884,Hôpital de Dungu,hospital,hospital,"",3.6113754,28.5562303
Haut-Uele,node,956709708,Lopitalo,hospital,hospital,catholic church,2.7849061,27.6102844
Haut-Uele,way,612244930,Lopitalo ya Leta / Hôpital de l'État,hospital,hospital,"",2.7737965,27.6165267
Haut-Uele,node,4408610952,Poste de Santé Zambasende,doctors,"","",2.9173293,27.6386451
Ituri,node,13848835711,Aide-Vision,clinic,clinic,"AIDE-VISION, Asbl",1.5492925,30.2428776
Ituri,node,9202141493,Bora Uzima,doctors,centre,"",1.5439852,30.2495619
Ituri,way,1516960731,Bureau Central de la Zone de santé Rwampara,hospital,hospital,"",1.5434794,30.1791761
Ituri,node,7919697507,CH Zunguluka,doctors,"","",1.1000787,29.8515391
Ituri,node,13848829683,CH Zunguluka,doctors,"","",1.1000787,29.8515391
Ituri,node,7919697513,CS Bikima,doctors,"","",1.0759741,29.9287261
Ituri,node,13848829684,CS Bikima,doctors,"","",1.0759741,29.9287261
Ituri,node,7919697512,CS Boga,doctors,"","",1.0227138,29.9537679
Ituri,node,7919697511,CS Bwakadi,doctors,"","",0.9417828,29.8108394
Ituri,node,6374000544,CS GBI,doctors,centre,"",1.613686,30.623423
Ituri,node,9221250450,CS GBI,doctors,centre,"",1.6182373,30.6167609
Ituri,way,996312913,CS Kabakaba,doctors,centre,"",1.7483735,30.1676883
Ituri,way,984674074,CS Masikini,clinic,clinic,"",2.0032331,30.1929922
Ituri,way,983834473,CS Mbidjo,clinic,clinic,MSP,2.0754763,30.1064959
Ituri,node,7919697508,CS Tondoli,doctors,"","",0.9325692,29.9232261
Ituri,way,983841031,CSR Akwe,clinic,clinic,"",2.0951581,30.1323405
Ituri,node,8194411474,Cabinet Par Medical Amani(Onc),clinic,"","",0.6149687,29.286805
Ituri,node,6337598797,Centre De Nyarambe,hospital,"","",2.2460922,31.1278053
Ituri,node,13848829626,Centre De Nyarambe,hospital,"","",2.2460922,31.1278053
Ituri,node,7375058088,Centre Hospitalier Alpha Sadco,clinic,"","",3.12298,30.7137817
Ituri,node,8194411458,Centre Hospitalier Bismillah,clinic,"","",0.85189,29.2585033
Ituri,node,8194411442,Centre Hospitalier Codemuco Laliya,clinic,"","",0.8633123,29.2585735
Ituri,node,8194398208,Centre Hospitalier Mandima,clinic,"","",1.0544,29.14622
Ituri,node,9331757206,Centre Hospitalier Mont Bleu,clinic,clinic,Privé,1.5565291,30.2549496
Ituri,node,8194411424,Centre Hospitalier Saint Bienereuse Anuarite,clinic,"","",0.7593696,29.2301574
Ituri,node,8194411462,Centre Hospitalier Village Orange Bella,clinic,"","",0.6275524,29.2519539
Ituri,node,11367649300,Centre Medical Etoile des mages,clinic,clinic,"",1.5377455,30.2444989
Ituri,node,8194411475,Centre Medical Gwado Bora Uzima,clinic,"","",1.2040983,29.1143991
Ituri,node,13848835624,Centre Medical Gwado Bora Uzima,clinic,"","",1.2040983,29.1143991
Ituri,node,8194411468,Centre Medical La Guerison,clinic,"","",0.6937639,29.2454762
Ituri,node,8194411422,Centre Medical Shalom,clinic,"","",0.7519667,29.2321383
Ituri,node,8194398200,Centre Medicalc Avo Lwemba,clinic,"","",0.9716867,29.1961462
Ituri,node,11345421588,Centre Médical Opas,clinic,clinic,"",1.5510251,30.234958
Ituri,node,10225485776,Centre Médical ya Shifa,clinic,clinic,"",1.5577045,30.2295074
Ituri,node,8007369919,Centre Médical Évangélique,clinic,clinic,"",1.5386683,30.2489467
Ituri,node,10075047082,Centre Médico-chirurgical Tokobika,clinic,clinic,"",1.539777,30.2408607
Ituri,node,11364156786,Centre Nutritionnel et Thérapeutique,clinic,clinic,ATPai / CIDECOM,1.5405619,30.2373169
Ituri,node,7375044277,Centre de Santé Abedju,doctors,"","",3.333645,30.8459967
Ituri,node,13848835760,Centre de Santé Abelkozo,doctors,doctor,"",1.875306,30.0822566
Ituri,node,7375058144,Centre de Santé Apaa,doctors,"","",3.1926776,30.6997497
Ituri,node,13848829642,Centre de Santé Apaa,doctors,"","",3.1926776,30.6997497
Ituri,way,791689755,Centre de Santé Atsinia,hospital,hospital,"",3.0161051,30.6227658
Ituri,node,8014547604,Centre de Santé Bahaha,doctors,centre,"",1.3955417,29.3582867
Ituri,node,13848829696,Centre de Santé Bahaha,doctors,centre,"",1.3955417,29.3582867
Ituri,node,8047586610,Centre de Santé Bakonde,doctors,doctor,"",1.8440976,30.1191801
Ituri,node,8047586602,Centre de Santé Bambu,doctors,centre,"",1.8015365,30.2364483
Ituri,node,13848835745,Centre de Santé Bambu,doctors,centre,"",1.8015365,30.2364483
Ituri,node,8047586611,Centre de Santé Bandebusi,doctors,centre,"",1.8182508,30.1238264
Ituri,node,13848835762,Centre de Santé Bandebusi,doctors,centre,"",1.8182508,30.1238264
Ituri,node,8014547603,Centre de Santé Bandibwami,doctors,centre,"",1.3785676,29.2825705
Ituri,node,13848829697,Centre de Santé Bandibwami,doctors,centre,"",1.3785676,29.2825705
Ituri,node,8014547602,Centre de Santé Bandikido,doctors,centre,"",1.3903204,29.4094207
Ituri,node,13848829692,Centre de Santé Bandikido,doctors,centre,"",1.3903204,29.4094207
Ituri,node,8785024018,Centre de Santé Biakato Mines,doctors,"","",0.8516849,29.2583435
Ituri,node,8047586598,Centre de Santé Bodza,doctors,centre,"",1.71532,30.25768
Ituri,node,8047586608,Centre de Santé Buengwe,doctors,centre,"",1.73275,30.12281
Ituri,node,13848835668,Centre de Santé Buengwe,doctors,centre,"",1.73275,30.12281
Ituri,node,8047586617,Centre de Santé Bunzenzele,doctors,centre,"",1.6957424,30.0492772
Ituri,node,13848835669,Centre de Santé Bunzenzele,doctors,centre,"",1.6957424,30.0492772
Ituri,way,963650140,Centre de Santé CECA20,doctors,doctor,"",1.9334087,30.0542012
Ituri,node,7375044280,Centre de Santé Dema,doctors,"","",3.12353,30.70609
Ituri,node,13848829641,Centre de Santé Dema,doctors,"","",3.12353,30.70609
Ituri,node,8047586606,Centre de Santé Dhungo,doctors,centre,"",1.7282867,30.1929282
Ituri,node,13848835666,Centre de Santé Dhungo,doctors,centre,"",1.7282867,30.1929282
Ituri,node,7375044278,Centre de Santé Donzu,doctors,"","",3.3710883,30.88029
Ituri,way,1005969422,Centre de Santé Epulu,clinic,"","",1.4036559,28.5718948
Ituri,way,791691322,Centre de Santé Essoko,hospital,hospital,"",3.0291604,30.7068818
Ituri,node,6374000545,Centre de Santé Evangelique Kasenyi,doctors,centre,"",1.401723,30.443548
