facility_id,facility_name,facility_type,host_site,health_zone,health_zone_matched,province,date_first_mentioned,sitrep_first_mentioned,date_first_planned_or_building,date_opened,date_opened_basis,date_opening_reported,status_latest,status_latest_date,status_latest_note,beds_latest,beds_latest_date,date_last_mentioned,sitrep_last_mentioned,n_mentions,n_sitreps,aliases,evidence_sitreps,notes
ct-limba,CT Limba,CT,,Viadana,TRUE,Bas-Uele,2026-08-20,97,,2026-08-20,first_reported_in_service,,operating,2026-08-20,One patient in isolation for 3 beds; no ambulance available,3,2026-08-20,2026-08-20,97,1,1,centre de transit de Limba,97,Written out in full: 'au centre de transit de Limba (ZS de Viadana)' (SitRep 097)
cte-buta,CTE Buta,CTE,,Buta,TRUE,Bas-Uele,2026-08-22,99,2026-08-22,,not_reported_in_service,,under_construction,2026-08-22,Construction needs to be accelerated,,,2026-08-22,99,1,1,CTE de Buta,99,Construction to be accelerated (SitRep 099)
ct-buta,CT Buta (HGR),CT,HGR Buta,Buta,TRUE,Bas-Uele,2026-09-06,115,2026-09-06,,not_reported_in_service,,planned,2026-09-06,Site evaluated for a transit centre at HGR Buta,,,2026-09-06,115,1,1,centre de transit à l’HGR,115,Site evaluated for 'un centre de transit à l’HGR de Buta' (SitRep 115); separate from the CTE de Buta under construction
cte-isiro,CTE Isiro,CTE,,Isiro,TRUE,Haut-Uele,2026-07-30,77,,2026-07-30,first_reported_in_service,2026-08-02,strained,2026-09-10,"Short of space, water and permanent electricity",,,2026-09-10,119,11,9,CTE d'Isiro; CTE d’Isiro,77; 78; 80; 82; 94; 96; 99; 108; 112; 116; 117; 118; 119,Haut-Uélé section (SitReps 077-118)
cte-wamba,CTE Wamba,CTE,,Wamba,TRUE,Haut-Uele,2026-07-30,77,,2026-07-30,first_reported_in_service,,operating,2026-09-10,Five recovered patients awaiting discharge,,,2026-09-10,119,9,7,CTE de Wamba; CTE Wamba,77; 78; 79; 80; 96; 99; 102; 108; 118; 119,Haut-Uélé section (SitReps 077-119)
cte-boma-mangbetu,CTE Boma Mangbetu,CTE,,Boma Mangbetu,TRUE,Haut-Uele,2026-07-31,78,,2026-07-31,first_reported_in_service,,strained,2026-07-31,Facility short of staff,,,2026-07-31,78,1,1,CTE de Boma,78,Context continues 'Mangbetu' across a column break (SitRep 078)
cte-pawa,CTE Pawa,CTE,,Pawa,TRUE,Haut-Uele,2026-08-01,79,,2026-08-01,first_reported_in_service,,strained,2026-09-10,Lacks sanitation facilities,,,2026-09-10,119,6,6,CTE de Pawa,79; 108; 116; 117; 118; 119,Haut-Uélé section (SitReps 079-119)
cte-tuluba,CTE Tuluba,CTE,,Isiro,TRUE,Haut-Uele,2026-08-26,104,,2026-08-26,first_reported_in_service,,operating,2026-08-26,A validated live alert was referred to the facility,,,2026-08-26,104,1,1,CTE Tuluba,104,"Referral from PoC Magambe (ZS Isiro), SitRep 104; SitRep 113 gives AS Tuluba in ZS Isiro"
ct-mayogo,CT Mayogo,CT,,,,Haut-Uele,2026-09-04,113,,2026-09-04,first_reported_in_service,,operating,2026-09-04,A validated live alert was referred to the facility,,,2026-09-04,113,1,1,CT de Mayogo,113,Referral from PoC Magambe in the Haut-Uélé section (SitRep 113); zone not given
cte-mongbwalu,CTE Mongbwalu,CTE,HGR Mongbwalu,Mongbwalu,TRUE,Ituri,2026-05-19,5,,2026-05-19,first_reported_in_service,,operating,2026-09-05,A live alert was isolated and transferred to the facility,,,2026-09-05,114,41,17,CTE de Mongbwalu; CTE Mongbwalu; CTE Mongwalu,5; 37; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 94; 114,Host from 'travaux d'aménagement aux CTE ... HGR Mongbwalu' Spelling variant (SitRep 005)
ct-bunia,CT Bunia,CT,,Bunia,TRUE,Ituri,2026-05-23,9,2026-05-23,2026-08-26,first_reported_in_service,,operating,2026-08-26,Alerts from a point of control referred to the facility,,,2026-08-26,104,2,2,CT Bunia,9; 104,Early transit centre (SitRep 009); not confirmed to be the later HGR Bunia CTE
ct-rwampara,CT Rwampara,CT,,Rwampara,TRUE,Ituri,2026-05-24,10,,,not_reported_in_service,,incident,2026-05-27,Fire at the Rwampara transit centre listed among security problems,,,2026-05-27,13,2,2,CT de Rwampara,10; 13,Early transit centre burned (SitReps 010-013); not confirmed to be the later HGR Rwampara CTE
cte-bunia,CTE Bunia (HGR),CTE,HGR Bunia,Bunia,TRUE,Ituri,2026-05-24,10,2026-05-24,2026-05-30,first_reported_in_service,2026-06-07,operating,2026-09-08,Six patients transferred in from CT Kigonze,,,2026-09-08,117,49,30,CTE à l’HGR; CTE à l'HGR Bunia; CTE à l'HGR BUNIA; CTE à l’HGR Bunia; CTE à l’HGR BUNIA; CTE Bunia; CTE de Bunia; CTE HGR Bunia; CTE/HGR Bunia,10; 12; 13; 14; 15; 16; 17; 24; 32; 33; 36; 41; 47; 48; 49; 50; 51; 52; 53; 54; 55; 57; 60; 62; 65; 74; 77; 78; 82; 104; 110; 117,Read as the HGR Bunia site: construction of the CTE à l'HGR Bunia is reported from SitRep 010 and CME and Elikya are listed separately alongside it OCR text Context continues HGR/Bunia
