indicator_id,family,unit,level,route,definition,cue,first_seen,notes
beds_total,capacity,beds,province;national;facility,parse,Installed beds in Ebola treatment and transit structures.,"""Nombre de lits"" table row; ""pour 978 lits""; ""sur 833 lits""",19,Facility-level values come from the register's readings; province and national from the reports' own tables and bullets.
patients_start_day,occupancy,patients,province;national,parse,Patients in isolation at the start of the reporting day.,"""Patients au lit (J-1)""",19,Table era only.
admissions_24h,occupancy,patients,province;national,parse,Admissions to isolation in the previous 24 hours.,"""Total admissions (24 h)""; ""113 nouvelles admissions""",19,"A spelled-out number (""Une nouvelle admission"") is not parsed and reads as absent."
exits_24h,occupancy,patients,province;national,parse,"Exits from isolation in the previous 24 hours: recovered, died, non-case, escaped or transferred.","""Total sorties""; ""97 sorties""",19,
admissions_cumulative,occupancy,patients,province;national,parse,Admissions since the start of the outbreak.,"""Total admissions"" with no 24 h qualifier",60,Present only in the later table variant.
patients_isolated,occupancy,patients,province;national,parse,Patients in isolation at the end of the reporting day.,"""Patients en isolement (fin J)""; ""552 patients sont hospitalises""",19,
patients_confirmed,occupancy,patients,province;national,parse,"Of those in isolation, confirmed cases.","""dont confirmes""",19,Table era only.
patients_suspect,occupancy,patients,province;national,parse,"Of those in isolation, suspected cases.","""dont suspects""",19,Table era only.
occupancy_rate,occupancy,percent,province;national,parse,Patients in isolation as a percentage of installed beds.,"""Taux d'occupation""; ""soit un taux d'occupation de 56,4 %""",60,"Also computed from beds and patients in data/derived/occupancy_daily.csv; the two are compared, not reconciled."
facility_saturated,strain,flag,facility,read,A named treatment or transit centre reported saturated or over capacity.,"""sature"", ""sursaturation"", ""depasse sa capacite""",26,From the facility register's strained events.
facility_expanded,strain,flag,facility,read,Capacity added or extension works at a centre already in service.,"""travaux d'extension"", ""capacite portee a""",24,From the facility register's expanded events.
facility_closed,strain,flag,facility,read,"Closure, suspension, destruction or relocation of a centre.","""ferme"", ""suspendu"", ""delocalise""",,From the facility register's closed events. No report has carried one.
facility_incident,strain,flag,facility,read,"Fire, arson or other security incident at a centre, without a stated closure.","""incendie"", ""attaque""",,From the facility register's incident events.
