facility_raw,name_key,place_key,site_kind,facility_id,reviewed,note
CS Boikene,cs boikene,boikene,isolation_centre,ci-cs-boikene,FALSE,added automatically 2026-09-21
CS Lengabo,cs lengabo,lengabo,isolation_centre,ci-cs-lengabo,FALSE,added automatically 2026-09-21
CS Makabo,cs makabo,makabo,isolation_centre,ci-cs-makabo,FALSE,added automatically 2026-09-21
CS SHARI,cs shari,shari,isolation_centre,ci-cs-shari,FALSE,added automatically 2026-09-21
CS Shari,cs shari,shari,isolation_centre,ci-cs-shari,FALSE,added automatically 2026-09-21
bâtiment d'isolement de l’HGR-Bunia,hgr bunia,bunia,isolation_centre,ci-hgr-bunia,FALSE,added automatically 2026-09-21
centre d’isolement de l’HGR d’Isiro,hgr isiro,isiro,isolation_centre,ci-hgr-isiro,FALSE,added automatically 2026-09-21
centre d'isolement à l'HGR de Musienene,hgr musienene,musienene,isolation_centre,ci-hgr-musienene,FALSE,added automatically 2026-09-21
salle d'isolement à l'HGR/Rwampara,hgr rwampara,rwampara,isolation_centre,ci-hgr-rwampara,FALSE,added automatically 2026-09-21
isolement de l'HGR Vuhovi,isolement hgr vuhovi,vuhovi,isolation_centre,ci-isolement-hgr-vuhovi,FALSE,added automatically 2026-09-21
isolement de Madula,isolement madula,madula,isolation_centre,ci-isolement-madula,FALSE,added automatically 2026-09-21
isolement de Musienene,isolement musienene,musienene,isolation_centre,ci-isolement-musienene,FALSE,added automatically 2026-09-21
isolement de la ZS de Katana,isolement zs katana,katana,isolation_centre,ci-isolement-zs-katana,FALSE,added automatically 2026-09-21
isolement de la ZS de Katana (FOMULAC),isolement zs katana fomulac,katana,isolation_centre,ci-isolement-zs-katana-fomulac,FALSE,added automatically 2026-09-21
l’isolement de la ZS de Katana (FOMULAC),isolement zs katana fomulac,katana,isolation_centre,ci-isolement-zs-katana-fomulac,FALSE,added automatically 2026-09-21
isolements de l'HGR de Beni,isolements hgr beni,beni,isolation_centre,ci-isolements-hgr-beni,FALSE,added automatically 2026-09-21
isolements (KONGA KONGA),isolements konga konga,konga konga,isolation_centre,ci-isolements-konga-konga,FALSE,added automatically 2026-09-21
isolements de Madula,isolements madula,madula,isolation_centre,ci-isolements-madula,FALSE,added automatically 2026-09-21
Kabondo,kabondo,kabondo,isolation_centre,ci-kabondo,FALSE,added automatically 2026-09-21
chantier d’isolement de Kabondo,kabondo,kabondo,isolation_centre,ci-kabondo,FALSE,added automatically 2026-09-21
unités d’isolement de Kabondo,kabondo,kabondo,isolation_centre,ci-kabondo,FALSE,added automatically 2026-09-21
